"","CellID","Cell","singler","excluded"
"292","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_N03.out.bam","1227_1_2_N03","MBC",FALSE
"293","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_N06.out.bam","1227_1_2_N06","Undefined",TRUE
"294","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_O03.out.bam","1227_1_2_O03","PB",FALSE
"295","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_O05.out.bam","1227_1_2_O05","Undefined",TRUE
"296","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_O06.out.bam","1227_1_2_O06","MBC",FALSE
"297","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_O07.out.bam","1227_1_2_O07","PB",FALSE
"298","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_P01.out.bam","1227_1_2_P01","PC",FALSE
"299","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_P04.out.bam","1227_1_2_P04","Undefined",TRUE
"300","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_P05.out.bam","1227_1_2_P05","PB",FALSE
"301","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_P07.out.bam","1227_1_2_P07","Undefined",TRUE
"302","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_2_P08.out.bam","1227_1_2_P08","MBC",FALSE
"303","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_A03.out.bam","1227_1_3_A03","MBC",FALSE
"304","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_D01.out.bam","1227_1_3_D01","Undefined",TRUE
"305","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_D02.out.bam","1227_1_3_D02","MBC",FALSE
"306","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_E01.out.bam","1227_1_3_E01","prePB",FALSE
"307","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_E02.out.bam","1227_1_3_E02","Undefined",TRUE
"308","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_E03.out.bam","1227_1_3_E03","MBC",FALSE
"309","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_H02.out.bam","1227_1_3_H02","PB",FALSE
"310","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_I01.out.bam","1227_1_3_I01","prePB",FALSE
"311","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_I02.out.bam","1227_1_3_I02","Undefined",TRUE
"312","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_J01.out.bam","1227_1_3_J01","prePB",FALSE
"313","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_J02.out.bam","1227_1_3_J02","PB",FALSE
"314","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_K01.out.bam","1227_1_3_K01","PC",FALSE
"315","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_L01.out.bam","1227_1_3_L01","MBC",FALSE
"316","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_L02.out.bam","1227_1_3_L02","PB",FALSE
"317","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_N02.out.bam","1227_1_3_N02","MBC",FALSE
"318","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_P01.out.bam","1227_1_3_P01","MBC",FALSE
"319","onefilepercell_JR1227_1_1_A05_and_others_LBT7E:JR1227_1_3_P02.out.bam","1227_1_3_P02","Undefined",TRUE
"320","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_A12.out.bam","1284_1_1_A12","MBC",FALSE
"321","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_D04.out.bam","1284_1_1_D04","MBC",FALSE
"322","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_E04.out.bam","1284_1_1_E04","MBC",FALSE
"323","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_F09.out.bam","1284_1_1_F09","MBC",FALSE
"324","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_H07.out.bam","1284_1_1_H07","PB",FALSE
"325","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_K08.out.bam","1284_1_1_K08","MBC",FALSE
"326","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_1_K12.out.bam","1284_1_1_K12","Undefined",TRUE
"327","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_2_A02.out.bam","1284_1_2_A02","MBC",FALSE
"328","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_2_O04.out.bam","1284_1_2_O04","PB",FALSE
"329","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_A04.out.bam","1284_1_3_A04","MBC",FALSE
"330","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_B12.out.bam","1284_1_3_B12","Undefined",TRUE
"331","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_E08.out.bam","1284_1_3_E08","Undefined",TRUE
"332","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_G04.out.bam","1284_1_3_G04","MBC",FALSE
"333","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_G07.out.bam","1284_1_3_G07","Undefined",TRUE
"334","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_H04.out.bam","1284_1_3_H04","MBC",FALSE
"335","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_I02.out.bam","1284_1_3_I02","MBC",FALSE
"336","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_I07.out.bam","1284_1_3_I07","prePB",FALSE
"337","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_K02.out.bam","1284_1_3_K02","MBC",FALSE
"338","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_K06.out.bam","1284_1_3_K06","MBC",FALSE
"339","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_3_K11.out.bam","1284_1_3_K11","MBC",FALSE
"340","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_A03.out.bam","1284_1_4_A03","prePB",FALSE
"341","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_A05.out.bam","1284_1_4_A05","PC",FALSE
"342","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_A06.out.bam","1284_1_4_A06","MBC",FALSE
"343","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_B01.out.bam","1284_1_4_B01","MBC",FALSE
"344","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_B05.out.bam","1284_1_4_B05","PB",FALSE
"345","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_B06.out.bam","1284_1_4_B06","MBC",FALSE
"346","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_C01.out.bam","1284_1_4_C01","MBC",FALSE
"347","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_C03.out.bam","1284_1_4_C03","MBC",FALSE
"348","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_C05.out.bam","1284_1_4_C05","PB",FALSE
"349","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_C06.out.bam","1284_1_4_C06","PB",FALSE
"350","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D01.out.bam","1284_1_4_D01","MBC",FALSE
"351","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D02.out.bam","1284_1_4_D02","MBC",FALSE
"352","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D03.out.bam","1284_1_4_D03","MBC",FALSE
"353","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D04.out.bam","1284_1_4_D04","PB",FALSE
"354","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D05.out.bam","1284_1_4_D05","MBC",FALSE
"355","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_D06.out.bam","1284_1_4_D06","MBC",FALSE
"356","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_E01.out.bam","1284_1_4_E01","PC",FALSE
"357","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_E03.out.bam","1284_1_4_E03","MBC",FALSE
"358","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_E05.out.bam","1284_1_4_E05","PB",FALSE
"359","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_G02.out.bam","1284_1_4_G02","MBC",FALSE
"360","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_G03.out.bam","1284_1_4_G03","MBC",FALSE
"361","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_G04.out.bam","1284_1_4_G04","Undefined",TRUE
"362","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_G05.out.bam","1284_1_4_G05","MBC",FALSE
"363","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_H01.out.bam","1284_1_4_H01","MBC",FALSE
"364","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_H02.out.bam","1284_1_4_H02","Undefined",TRUE
"365","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_H03.out.bam","1284_1_4_H03","MBC",FALSE
"366","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_H05.out.bam","1284_1_4_H05","MBC",FALSE
"367","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_I03.out.bam","1284_1_4_I03","Undefined",TRUE
"368","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_I04.out.bam","1284_1_4_I04","MBC",FALSE
"369","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_I05.out.bam","1284_1_4_I05","MBC",FALSE
"370","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_J02.out.bam","1284_1_4_J02","Undefined",TRUE
"371","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_J03.out.bam","1284_1_4_J03","MBC",FALSE
"372","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_J04.out.bam","1284_1_4_J04","Undefined",TRUE
"373","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_J05.out.bam","1284_1_4_J05","MBC",FALSE
"374","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_K01.out.bam","1284_1_4_K01","PB",FALSE
"375","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_K03.out.bam","1284_1_4_K03","MBC",FALSE
"376","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_K04.out.bam","1284_1_4_K04","MBC",FALSE
"377","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_K05.out.bam","1284_1_4_K05","MBC",FALSE
"378","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_K06.out.bam","1284_1_4_K06","MBC",FALSE
"379","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_L01.out.bam","1284_1_4_L01","MBC",FALSE
"380","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_L02.out.bam","1284_1_4_L02","PC",FALSE
"381","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_L04.out.bam","1284_1_4_L04","MBC",FALSE
"382","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_L06.out.bam","1284_1_4_L06","MBC",FALSE
"383","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_M01.out.bam","1284_1_4_M01","MBC",FALSE
"384","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_M04.out.bam","1284_1_4_M04","MBC",FALSE
"385","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_M05.out.bam","1284_1_4_M05","Undefined",TRUE
"386","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_M06.out.bam","1284_1_4_M06","PB",FALSE
"387","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N01.out.bam","1284_1_4_N01","PB",FALSE
"388","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N02.out.bam","1284_1_4_N02","MBC",FALSE
"389","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N03.out.bam","1284_1_4_N03","PB",FALSE
"390","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N04.out.bam","1284_1_4_N04","Undefined",TRUE
"391","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N05.out.bam","1284_1_4_N05","MBC",FALSE
"392","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_N06.out.bam","1284_1_4_N06","MBC",FALSE
"393","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_O01.out.bam","1284_1_4_O01","PB",FALSE
"394","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_O02.out.bam","1284_1_4_O02","MBC",FALSE
"395","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_O03.out.bam","1284_1_4_O03","MBC",FALSE
"396","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_O05.out.bam","1284_1_4_O05","MBC",FALSE
"397","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_4_P05.out.bam","1284_1_4_P05","MBC",FALSE
"398","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_A02.out.bam","1284_1_5_A02","prePB",FALSE
"399","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_A04.out.bam","1284_1_5_A04","PC",FALSE
"400","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_A06.out.bam","1284_1_5_A06","PC",FALSE
"401","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_B01.out.bam","1284_1_5_B01","PB",FALSE
"402","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_B03.out.bam","1284_1_5_B03","MBC",FALSE
"403","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_B05.out.bam","1284_1_5_B05","MBC",FALSE
"404","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_B06.out.bam","1284_1_5_B06","MBC",FALSE
"405","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_C02.out.bam","1284_1_5_C02","Undefined",TRUE
"406","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_C03.out.bam","1284_1_5_C03","MBC",FALSE
"407","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_C06.out.bam","1284_1_5_C06","prePB",FALSE
"408","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_D02.out.bam","1284_1_5_D02","MBC",FALSE
"409","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_D03.out.bam","1284_1_5_D03","MBC",FALSE
"410","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_D04.out.bam","1284_1_5_D04","MBC",FALSE
"411","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_D05.out.bam","1284_1_5_D05","MBC",FALSE
"412","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_D06.out.bam","1284_1_5_D06","MBC",FALSE
"413","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_E02.out.bam","1284_1_5_E02","MBC",FALSE
"414","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_F01.out.bam","1284_1_5_F01","PB",FALSE
"415","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_F02.out.bam","1284_1_5_F02","Undefined",TRUE
"416","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_F03.out.bam","1284_1_5_F03","MBC",FALSE
"417","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_F05.out.bam","1284_1_5_F05","Undefined",TRUE
"418","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_F06.out.bam","1284_1_5_F06","PB",FALSE
"419","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_G01.out.bam","1284_1_5_G01","Undefined",TRUE
"420","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_G04.out.bam","1284_1_5_G04","Undefined",TRUE
"421","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_G05.out.bam","1284_1_5_G05","Undefined",TRUE
