X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30
29.290688,-11.802781,8.588867,-6.667005,7.1036396,-2.673761,8.687553,-0.81886476,3.5258663,2.3703337,4.2177544,-11.74069,2.6636825,-7.264784,1.1107488,3.6424732,-3.832484,7.266019,-4.310854,-3.8318777,-5.7219253,1.8749061,4.8916106,-1.5617657,-1.0847516,-2.086718,3.8809872,-0.56863177,-2.5985217,-3.9555516
-13.232611,-6.7256207,3.3016593,0.023552814,4.9555883,-0.32186744,-3.3288603,2.22167,-8.438748,1.2636236,-1.3965443,3.29608,-2.5404508,-3.1645217,-8.929127,-4.280288,-0.927558,-11.336242,-5.185836,0.42792618,-3.5077128,0.83928525,2.9521322,-2.701626,-0.091887996,-5.3433824,0.95907956,1.1270151,2.0664387,-2.511897
14.293527,-10.386065,-0.7259464,-5.0326934,-1.2587154,2.6625617,0.18115039,-3.9810574,-9.821502,8.998728,-0.80394703,3.77269,1.6995196,-2.9940383,1.4303026,2.315442,-3.4815369,-3.5373216,1.8502464,-0.16460826,1.3538425,0.73490036,-3.4936824,5.101766,1.5839236,-0.52786905,1.132551,-2.5731072,7.5045557,-2.7914095
17.069424,-5.594173,-5.6989465,-1.0896671,3.0017567,2.4651234,-1.8427768,0.17080702,1.2980092,5.7124295,-3.304069,0.06199202,-4.835902,5.1829114,1.2637366,0.50909704,1.5735584,-6.4211497,0.9624451,6.262377,-5.8708043,1.4001642,-3.5777693,6.3703246,-5.5893154,5.6800365,1.3075063,-4.3341026,-1.3567467,0.86111176
-9.193812,-8.820266,5.425864,-5.8145003,3.5100405,-1.6718622,0.34503114,4.9281735,1.4954934,0.08915082,0.8691533,-8.632373,0.46919867,-6.3687267,-6.1448874,4.2793646,-6.350575,-8.665083,0.9742001,15.821645,2.8477957,-3.374343,-1.2097809,-0.39870486,2.7973568,-0.78931534,2.096421,-6.8368664,-1.2087296,-4.5396314
-10.385087,-6.1012464,2.6072016,1.7350084,2.7937074,-1.7777063,-1.4988754,-4.16738,-12.604203,6.2885485,-6.807484,-2.8642077,-3.7504532,-0.38318565,-3.127038,3.113377,7.7865095,-6.105211,3.5155382,1.6807861,-2.4967759,-4.6926193,-2.1010435,-2.4716477,1.1608838,2.7285223,-5.150746,4.64857,0.9788231,-0.51302403
-5.513904,-10.047147,4.1093483,3.3486505,6.580712,-4.510609,-2.3103888,-1.8821665,2.6832702,-1.4297496,-5.0887046,8.068201,3.1187046,-8.219067,-2.4230006,-0.40269485,-9.430014,-11.480299,6.6567845,4.958551,4.117512,-7.870595,-5.430774,-9.610093,-6.037452,10.461992,8.274439,-1.8022766,-0.91098416,-0.87989235
8.513278,7.851819,3.3762858,-7.271615,2.2995565,-2.9579484,-2.8318682,4.384827,-1.6059339,-1.3874578,1.9943041,-4.9400043,8.651869,3.4152555,-6.993768,0.5350415,1.0737399,6.433559,-7.3371677,2.5884762,5.5057807,-1.1722395,-0.14329797,-1.3216478,-2.8864572,1.4232608,-7.113795,4.461566,0.2482289,-2.0877078
6.7757144,8.998873,3.153137,1.9492431,-8.285139,14.32749,-3.4684668,-4.5107546,-9.591886,-0.9355214,5.7075515,0.046891548,1.7877016,-8.078335,-8.546867,-0.6022807,-0.8117039,-0.3230849,0.5598868,5.162809,2.3923082,0.7850202,0.15831818,-4.544831,-0.8935778,-3.156755,-0.006893234,-1.6859839,-0.45055145,-6.56667
17.464682,-7.9752398,-5.2377357,4.9795723,3.0206072,-0.1536403,-1.3984771,-2.5859973,-1.5958713,2.828112,-2.4655762,2.869096,3.9851136,2.4424863,0.07126773,8.316348,-2.0074825,7.34301,2.7177408,-7.477059,0.8146005,0.059145257,-0.26741186,-2.4720066,1.2975959,1.1615765,-1.0972792,3.357592,2.2837374,-1.010802
17.482038,6.6792026,-0.13850522,4.4925866,1.2484183,-8.76008,2.2075915,-11.783947,-9.193746,-2.9819431,-1.4621836,-4.83758,-2.637261,4.731009,0.29413912,6.410139,-2.8161287,-1.5490817,0.8782604,1.3356787,-5.1708655,-4.4545217,0.8368048,6.9647837,7.6670237,0.14804837,-6.4325356,-4.796073,-0.5432482,2.7278657
-6.0307264,-8.190149,6.019397,6.458137,2.3139763,-0.55635214,-3.014599,0.39962804,-0.643701,-3.266952,5.01162,2.3856385,12.187526,3.012231,4.2605305,3.4067032,-2.0295565,-10.063734,-0.4782648,0.41645226,-3.449825,-2.7866836,-5.282409,3.5760698,3.9447925,5.2628803,-3.708432,8.736229,-6.1526327,-9.188802
34.91155,-19.099674,-0.23007262,0.3130299,2.2951071,0.7713434,1.0490788,-6.7816777,7.099078,-6.436194,-1.3921003,-1.247364,-1.96445,1.8969069,3.6666236,-4.3073916,-3.9600418,3.264553,2.9273207,2.4759479,-3.9053488,6.9423347,-3.1158123,-1.3737738,0.11666711,-1.3086442,-6.2486563,-3.131574,-2.4846413,5.2850833
28.980774,-3.483983,10.41972,-3.6370916,-0.13518173,-1.2519387,-1.8212396,0.8872587,6.304769,-9.267354,-0.17797548,-6.968019,-1.170787,-5.0548615,-0.5648787,3.6154337,-8.557585,-6.859436,9.315214,-7.137668,3.4685464,-3.2154555,-2.0345805,-8.7031,-7.7938766,2.2490268,0.41517544,-0.62533665,-2.4219506,2.3646412
10.323846,1.3390044,-1.3972954,6.42345,2.7092645,-4.829783,-10.33742,4.4353957,5.0737753,7.274813,4.1817994,-2.0353818,-3.0524294,-5.6463685,-2.003248,1.2233412,-3.4489179,-2.1811266,-2.5557175,3.4299698,-3.7722337,-8.299158,-3.3602073,3.1934104,0.39670777,2.3496826,-2.7202773,-6.4346256,-5.0845723,-5.9361606
20.501593,-7.322283,-6.5653667,-0.1342678,-3.167176,0.8214425,-8.543959,-2.341643,8.349741,3.287717,-2.4456189,-4.5737934,1.6473523,-4.8289003,-3.7918956,0.7799464,7.227738,-1.3250594,-6.924298,3.052877,3.548574,0.6700077,0.73310155,-0.3897785,5.8513546,-1.80998,-3.0747156,1.3915212,1.2959777,-1.9196229
