CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,cell_cycle_theta
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C14.out.bam,1086727,84507,1086727.0,854618.4,0.040000000000000036
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C15.out.bam,1728985,300053,1728985.0,931773.94,0.49
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D02.out.bam,1526418,106048,1526418.0,972810.2,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D03.out.bam,1547940,73204,1547940.0,987352.56,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D04.out.bam,884891,52810,884891.0,785593.7,0.05999999999999994
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D07.out.bam,1813498,115297,1813498.0,885988.5,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D08.out.bam,652511,64132,652511.0,952807.1,0.030000000000000027
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D09.out.bam,1793457,101318,1793457.0,940139.56,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D10.out.bam,1446438,96531,1446438.0,947713.2,0.06999999999999995
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D12.out.bam,1502814,61536,1502814.0,956619.44,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D13.out.bam,1410868,445720,1410868.0,941245.06,0.8200000000000001
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D14.out.bam,1280401,71729,1280401.0,990601.3,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D15.out.bam,1548934,72468,1548934.0,973331.94,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E01.out.bam,1808652,100772,1808652.0,966897.56,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E02.out.bam,2173930,83475,2173930.0,932910.44,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E03.out.bam,1519780,125915,1519780.0,973565.56,0.98
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E04.out.bam,730358,94750,730358.0,899655.6,1.0
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E05.out.bam,1370425,90671,1370425.0,977731.25,0.14
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E06.out.bam,710953,49965,710953.0,987626.3,0.030000000000000027
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E07.out.bam,1196199,113845,1196199.0,887460.9,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E08.out.bam,1298009,155112,1298009.0,966194.6,0.030000000000000027
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E09.out.bam,1606157,78106,1606157.0,964816.9,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E10.out.bam,2071711,81231,2071711.0,981714.1,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E11.out.bam,1203419,77376,1203419.0,964941.1,1.0
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E12.out.bam,966735,75392,966735.0,950927.44,0.05999999999999994
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E13.out.bam,820177,66602,820177.0,818490.8,0.97
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E14.out.bam,1743936,214463,1743936.0,964740.9,0.5700000000000001
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E15.out.bam,1445811,62650,1445811.0,998198.25,0.07999999999999996
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F02.out.bam,1473152,210967,1473152.0,933128.75,0.8200000000000001
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F03.out.bam,1553443,98570,1553443.0,919512.56,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F04.out.bam,1703456,74669,1703456.0,963222.0,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F05.out.bam,1667376,85398,1667376.0,965964.75,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F06.out.bam,760677,45732,760677.0,963824.3,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F07.out.bam,1002992,149065,1002992.0,966676.9,0.97
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F08.out.bam,849411,64796,849411.0,938910.44,0.07999999999999996
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F09.out.bam,458403,48243,458403.0,920283.8,0.040000000000000036
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F10.out.bam,1430520,90693,1430520.0,979330.7,0.08999999999999997
