CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K12.out.bam,1272888,60673,1272888.0,943397.94,0.38876027,117.75,0.5120259523391724,0.5844188,0.38682094231589687,0.680842692457588,0.871131181716919
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K15.out.bam,1196727,108653,1196727.0,926178.56,0.11213714,394.88,0.31419283151626587,0.8480088,0.4593414288233143,0.11493104512865156,0.09863686561584473
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K16.out.bam,1499247,189439,1499247.0,957594.9,0.68357503,546.19,0.43396231532096863,0.21736254,0.016991352057597046,0.3024266166981089,0.4188486933708191
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L02.out.bam,618851,106198,618851.0,968934.75,0.0,1408.64,0.9401268362998962,0.98858523,0.6330307495409843,0.08000139222130219,0.08493698388338089
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L03.out.bam,638362,44054,638362.0,964568.0,0.851143,100.71,0.3320198059082031,-0.099125266,0.8433500374696926,0.13916467849169212,0.11388929933309555
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L04.out.bam,566097,44282,566097.0,961847.3,0.09266931,378.78,0.5158466696739197,0.85120463,0.5471161039619225,0.10184293641444933,0.06197642534971237
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L06.out.bam,1249765,60244,1249765.0,960273.7,0.04669267,367.74,0.8176387548446655,0.9284978,0.021337294003083603,0.7844891149587041,0.8023760914802551
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L07.out.bam,351723,45810,351723.0,951103.6,0.008905411,1151.28,0.9753022193908691,0.9645773,0.6362856668993607,0.07554507790319898,0.11686570942401886
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L08.out.bam,445878,39012,445878.0,988067.0,0.020561337,872.32,0.9654037952423096,0.95135057,0.34921868613441803,0.05246777464412367,0.07123348861932755
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L09.out.bam,598573,272984,598573.0,909068.5,0.7579596,435.53,0.2600514888763428,0.12158148,0.02751381603697861,0.19563269097278826,0.45714932680130005
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L10.out.bam,564630,59991,564630.0,948020.8,1.2516975e-06,879.85,0.6769931316375732,0.9812871,0.31739979343325053,0.09672185233101695,0.05237472802400589
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L11.out.bam,673061,64853,673061.0,957899.5,0.12944335,515.41,0.6146463751792908,0.8003469,0.346869633261979,0.1538933757451099,0.08739963918924332
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L13.out.bam,570277,38485,570277.0,944229.5,0.50373423,115.15,0.5501385927200317,0.45950755,0.23086083071269828,0.6886382615442798,0.5878846645355225
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L14.out.bam,1429989,55870,1429989.0,969729.1,0.14217573,139.43,0.690714955329895,0.84305984,0.25659374888662634,0.5586341582802032,0.3421369791030884
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L15.out.bam,1021057,42363,1021057.0,967672.25,0.27430284,131.8,0.7589992880821228,0.70859116,0.140068356325484,1.0,0.9121274352073669
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_L16.out.bam,1462004,56613,1462004.0,973947.06,0.42615455,204.41,0.8803703784942627,0.5486568,0.018017878991711325,1.0,0.9880526661872864
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M02.out.bam,899273,76312,899273.0,965708.4,0.013544083,644.58,0.8441537022590637,0.961699,0.3266394479646228,0.20931249181324976,0.10219574719667435
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M03.out.bam,1191598,82217,1191598.0,979237.6,0.16562366,311.76,0.6253848075866699,0.78140396,0.5324883192600729,0.2715032184447397,0.17721682786941528
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M04.out.bam,1106197,69732,1106197.0,954857.0,0.041573644,494.2,0.8900867700576782,0.92399293,0.06877949824105148,0.5250889506534349,0.43700307607650757
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M05.out.bam,1227445,60309,1227445.0,987274.9,0.5178993,173.22,0.6609669923782349,0.4620483,0.21011562229560782,0.9285468416638423,0.685135543346405
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M07.out.bam,1043462,99818,1043462.0,975230.7,0.7690658,81.86,0.2865610122680664,0.19130327,0.6582400722730912,0.2718075539359422,0.2363836169242859
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M08.out.bam,1147649,70101,1147649.0,915319.6,0.08968383,249.75,0.29679593443870544,0.8914376,0.705119614547016,0.19895821094973598,0.5706435441970825
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M09.out.bam,1081507,90763,1081507.0,933690.7,0.15386546,216.71,0.15563839673995972,0.8326678,0.8243001901045095,0.139854835059232,0.1090095266699791
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M10.out.bam,694286,160089,694286.0,914197.94,0.40718418,526.29,0.3161546587944031,0.58361083,0.012541008005705031,0.276327913218816,0.44437697529792786
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M11.out.bam,1685047,101765,1685047.0,959415.7,0.3951,119.42,0.7170693874359131,0.58184916,0.15476491506009699,0.7015622902260583,0.9451711177825928
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M14.out.bam,364828,63667,364828.0,977638.7,0.78124154,431.26,0.48009389638900757,0.13303089,0.015529729349336146,0.39066128738316713,0.43493759632110596
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M15.out.bam,971465,85155,971465.0,955099.75,0.24432737,214.28,0.45763128995895386,0.7539192,0.5416806059811747,0.8661396432745124,0.3578234016895294
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_M16.out.bam,1200494,57312,1200494.0,954789.7,0.98596805,132.99,0.6630134582519531,-0.4203938,0.22564379745178761,0.7113353506567116,0.838190495967865
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N01.out.bam,1508669,102883,1508669.0,980067.94,0.17414057,153.92,0.6000013947486877,0.8015193,0.41805829828861446,0.3409054531725243,0.34665659070014954
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N02.out.bam,1785432,106907,1785432.0,927456.5,0.07334906,403.24,0.3741634488105774,0.89233845,0.7544400450409827,0.4029894082752248,0.17264807224273682
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N03.out.bam,1275630,62200,1275630.0,965401.3,0.32019842,201.48,0.7986454367637634,0.68873113,0.09766490057760484,0.7779885220868118,0.9319299459457397
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N05.out.bam,1054246,55716,1054246.0,947609.2,0.20751387,217.16,0.857438325881958,0.77652186,0.036074123040460426,0.7908676971545141,0.9089074730873108
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N07.out.bam,671597,60812,671597.0,796551.06,0.110797286,257.47,0.21507516503334045,0.86229664,0.5980630677167398,0.15624116489058695,0.08558477461338043
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N09.out.bam,722820,67843,722820.0,988999.8,0.023178041,694.74,0.9800311326980591,0.94648784,0.1142360085561613,0.07986605191610299,0.16357247531414032
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N10.out.bam,814063,123448,814063.0,975477.44,0.014929354,865.71,0.9212762713432312,0.96621555,0.18590410301321875,0.06513122492417743,0.07331278920173645
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N11.out.bam,821005,135135,821005.0,927110.06,0.0,1006.75,0.9270817041397095,0.97520477,0.5638529159414609,0.1682557521822197,0.09360944479703903
