CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,S_score,G2M_score,phase,clusters_gradients,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E11.out.bam,1203419,77376,1203419.0,956174.5,0.092639506,1,0.0,0.0,S,S_score,560.75,0.602488100528717,0.84546113,0.4380096806236873,0.17933808480500182,0.027075817808508873
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E12.out.bam,966735,75392,966735.0,941509.5,0.7733499,1,0.0,-3.5726128816604614,S,S_score,63.7,0.14738699793815613,0.03021273,0.7223551343495372,0.13401590913916556,0.026133939623832703
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E13.out.bam,820177,66602,820177.0,811214.56,0.26153004,1,0.0,0.0,S,S_score,116.26,0.14424432814121246,0.7310706,0.8528061087721345,0.19832946107920482,0.027632957324385643
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E14.out.bam,1743936,214463,1743936.0,955162.6,0.59014523,0,0.0,0.0,S,S_score,470.43,0.40683871507644653,0.34856454,0.00010067675532189034,0.6194586953967343,0.9983813762664795
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E15.out.bam,1445811,62650,1445811.0,988764.7,0.049050152,2,1.3364834785461426,6.070285320281982,G2M,G2M_score,257.67,0.0,0.8939193,0.0785575424083846,0.506732915032411,0.0582696758210659
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F02.out.bam,1473152,210967,1473152.0,924225.2,0.7258235,0,-5.457562446594238,-4.95012903213501,G1,S_score,503.15,0.21646416187286377,0.24077106,0.1267232891095528,0.3785194986304589,0.9463381767272949
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F03.out.bam,1553443,98570,1553443.0,910942.44,0.27879024,2,2.008685827255249,4.566036701202393,G2M,G2M_score,120.74,0.34885865449905396,0.70728105,0.3374330217998493,0.5390140545994742,0.04001549631357193
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F04.out.bam,1703456,74669,1703456.0,954434.5,0.38398343,2,2.1061272621154785,3.353606700897217,G2M,G2M_score,96.04,0.14981018006801605,0.6065955,0.046945437087646216,0.7735428881084622,0.05187246575951576
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F05.out.bam,1667376,85398,1667376.0,956839.06,0.0058612823,2,4.685451120138168,6.798020839691162,G2M,G2M_score,1291.1,0.45143482089042664,0.9776839,0.5460990853164871,0.297006853666208,0.03905319795012474
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F06.out.bam,760677,45732,760677.0,955005.25,0.07806492,1,-4.093358993530273,0.0,G2M,S_score,154.33,0.23063035309314728,0.91472805,0.8776308280898483,0.15882917464342847,0.017582673579454422
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F07.out.bam,1002992,149065,1002992.0,957949.94,0.1873824,1,0.0,0.0,S,S_score,467.84,0.8327804803848267,0.7273752,0.2592532748877904,0.20100699076708803,0.03601900115609169
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F08.out.bam,849411,64796,849411.0,930192.75,0.043635964,2,3.5142791271209717,6.612708568572998,G2M,G2M_score,249.05,0.7686133980751038,0.93276364,0.8302836063666331,0.1144731203074327,0.03186161816120148
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F09.out.bam,458403,48243,458403.0,911621.3,0.0,1,0.0,0.0,S,S_score,1009.87,0.2112501561641693,0.99135154,0.9072873265334,0.22278636327454784,0.018026195466518402
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F10.out.bam,1430520,90693,1430520.0,969548.44,0.5795061,2,-0.20206975936889648,-0.6001105308532715,G1,S_score,271.16,0.09964440017938614,0.29133543,0.5800615916604138,0.32749301923121105,0.012359527871012688
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F11.out.bam,1440005,178120,1440005.0,901769.25,0.06609589,1,0.0,0.0,S,S_score,280.76,0.08847881853580475,0.92652684,0.718704460248498,0.21332959423099704,0.11446279287338257
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F12.out.bam,1188193,58207,1188193.0,955908.2,0.038226128,1,0.0,0.0,S,S_score,409.89,0.32861804962158203,0.9393435,0.380318515765213,0.09509302393881612,0.024345653131604195
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F13.out.bam,1049555,44094,1049555.0,944529.06,0.5390065,2,2.7321150302886963,2.367788314819336,S,S_score,205.37,0.34885406494140625,0.38467127,0.18543546397191077,0.3739386866176405,0.023796577006578445
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F14.out.bam,1081563,358843,1081563.0,921805.6,0.7457425,0,-1.8830394744873047,0.0,G2M,S_score,333.29,0.2827000021934509,0.17463383,0.2269144196504379,0.3057283631348318,0.9485484957695007
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_F15.out.bam,1029621,59465,1029621.0,946668.56,0.12433404,2,-0.037065982818603516,3.820941209793091,G2M,G2M_score,248.47,0.0871574729681015,0.82282895,0.7257084654331762,0.22306242073565888,0.02355818822979927
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G02.out.bam,1022941,98221,1022941.0,958626.75,0.1852597,1,0.0,0.0,S,S_score,537.4,0.6899855136871338,0.76882744,0.2047696065665758,0.17704940269335281,0.05876907706260681
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G03.out.bam,1724586,87115,1724586.0,955327.3,0.45368415,2,3.851546049118042,6.164584636688232,G2M,G2M_score,232.54,0.23418691754341125,0.61614376,0.2682731919453823,0.4460983882299991,0.03558751568198204
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G04.out.bam,1460742,91252,1460742.0,878360.9,0.00018072128,1,-1.957134485244751,0.0,G2M,S_score,966.43,0.28443223237991333,0.9900351,0.7292325548522345,0.1746786969769774,0.016138896346092224
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G05.out.bam,1161066,74632,1161066.0,904697.6,0.0,1,0.0,0.0,S,S_score,1550.32,0.5513986945152283,0.990802,0.9440078696203535,0.18134464623870053,0.011148393154144287
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G06.out.bam,1343762,62527,1343762.0,892827.0,0.024055064,2,0.5059750080108643,1.8853909969329834,G2M,G2M_score,304.47,0.5546930432319641,0.9423863,0.6776619905399632,0.22606626648284683,0.02935216948390007
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G07.out.bam,1515211,79751,1515211.0,929558.5,0.32802182,2,2.9973504543304443,7.355566501617432,G2M,G2M_score,92.39,0.23898431658744812,0.6239533,0.31430655185327566,0.5456706532570395,0.03203495219349861
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G08.out.bam,1503017,75448,1503017.0,934731.75,0.15948677,2,4.004163861274719,4.411811470985413,G2M,G2M_score,160.64,0.4574270248413086,0.82564586,0.05639206619538065,0.7123087794546306,0.05874009430408478
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G09.out.bam,2027064,100292,2027064.0,944275.7,0.7412341,2,5.4926371574401855,5.920530796051025,G2M,G2M_score,80.25,0.4761037528514862,0.21436405,0.11020885446804683,0.8296935048249904,0.04429517313838005
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G10.out.bam,1096177,103256,1096177.0,968961.25,0.057317138,1,0.8923709988594055,0.0,S,S_score,556.7,0.33120256662368774,0.9157364,0.3573426323154526,0.19703084858283282,0.021233227103948593
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G11.out.bam,1851951,100206,1851951.0,922198.9,0.42527157,2,3.6165149211883545,3.639498472213745,G2M,G2M_score,99.16,0.3424026370048523,0.5570762,0.3990772179129733,0.22952201233945038,0.047210097312927246
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G12.out.bam,1251350,80649,1251350.0,921843.94,0.005804181,2,2.943910837173462,0.0,S,S_score,474.24,0.41413500905036926,0.97988313,0.6489260614832885,0.1501229954309252,0.0291048102080822
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G13.out.bam,1032099,49166,1032099.0,922840.44,0.05880612,2,6.265392303466797,1.600395679473877,S,S_score,312.33,0.321815550327301,0.901566,0.21124959796058587,0.3067821531724706,0.04250272735953331
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G14.out.bam,1193049,58741,1193049.0,938097.7,0.43641245,2,5.965085983276367,4.759681701660156,S,S_score,99.67,0.27199751138687134,0.55521595,0.24862901893124367,0.4916782202572698,0.03647201880812645
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_G15.out.bam,845117,128225,845117.0,966992.7,0.012273729,1,0.0,0.0,S,S_score,669.97,0.9133748412132263,0.97587574,0.4708450279751493,0.13047595677751378,0.04223379120230675
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H02.out.bam,1496092,59694,1496092.0,943418.2,0.55485773,2,3.741034746170044,4.870031833648682,G2M,G2M_score,74.33,0.4774048924446106,0.44707072,0.16083404239986812,0.6965038552728128,0.03893805667757988
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H03.out.bam,1568859,116783,1568859.0,955073.0,0.4680454,2,0.8418352603912354,5.965343475341797,G2M,G2M_score,201.99,0.13381427526474,0.45921126,0.3846171281395619,0.512205277604197,0.023249929770827293
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H05.out.bam,922007,64872,922007.0,971139.56,0.09051031,1,0.0,0.0,S,S_score,590.25,0.6871584057807922,0.8674187,0.44189734058329333,0.10145574350604086,0.031838517636060715
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H06.out.bam,991637,44653,991637.0,960572.06,0.109847784,2,0.5614986419677734,3.842142105102539,G2M,G2M_score,162.87,0.4916044771671295,0.8708954,0.12779445172109008,0.7024054482366052,0.042301613837480545
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H07.out.bam,1089447,56860,1089447.0,944637.75,0.51038015,2,1.5731277465820312,7.076918125152588,G2M,G2M_score,192.16,0.39868393540382385,0.4539351,0.13439166280928969,0.7105676421916192,0.05130801349878311
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H08.out.bam,1392335,51811,1392335.0,894388.4,0.63981557,2,1.2758729457855225,4.127020597457886,G2M,G2M_score,78.52,0.4791966676712036,0.19558668,0.2103436820820251,0.6680843905303995,0.04587991535663605
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H09.out.bam,1507392,106900,1507392.0,956301.6,0.05019474,1,2.183955430984497,6.518248081207275,G2M,G2M_score,325.45,0.1707475781440735,0.89378595,0.39367730073273827,0.13193485383757753,0.023666558787226677
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H10.out.bam,909420,104278,909420.0,913607.25,0.022705555,1,0.0,0.0,S,S_score,329.61,0.5025089383125305,0.9694718,0.9249872175903932,0.12290138985908275,0.047728393226861954
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H11.out.bam,691882,71825,691882.0,810215.06,0.028016627,1,0.0,0.0,S,S_score,438.49,0.6922179460525513,0.96340495,0.6200764555445938,0.11977069625959656,0.09638803452253342
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H12.out.bam,632882,50551,632882.0,934745.56,0.010187149,1,-4.635453701019287,0.0,G2M,S_score,810.11,0.8557140827178955,0.9569531,0.5549258785216832,0.14695652874569656,0.04810434207320213
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H13.out.bam,459493,60722,459493.0,746066.5,0.006973386,1,0.0,-4.096676826477051,S,S_score,518.7,0.590717077255249,0.9824433,0.9599874402839297,0.1094325020653573,0.015225161798298359
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H14.out.bam,597118,52684,597118.0,987307.56,0.3282122,1,0.0,1.5348758697509766,G2M,G2M_score,129.06,0.0,0.65948004,0.3778367641541835,0.14961282338699108,0.02176326885819435
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_H15.out.bam,826571,116069,826571.0,970675.9,0.126082,1,0.0,-2.024883508682251,S,S_score,149.77,0.0,0.85952616,0.551260478378327,0.13199037176547498,0.018949264660477638
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I02.out.bam,1223978,67226,1223978.0,960175.3,0.31338406,2,3.7898738384246826,6.857761383056641,G2M,G2M_score,132.44,0.2763625979423523,0.6051821,0.4091736803687879,0.4212353215755417,0.02620796672999859
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I03.out.bam,680234,58765,680234.0,959483.0,0.12909967,2,-2.318666934967041,3.6642138957977295,G2M,G2M_score,158.27,0.21152058243751526,0.8147071,0.629728223509804,0.15017607384367326,0.02325020357966423
