"","FSC-A","FSC-H","SSC-A","SSC-H","CD20","CD56","CD45","CD38","CD138","CD4_IgD","CD14_7AAD","CD19","CD16","CD8","CD3","CD27","TIME","CD4","IgD","Plate","Index","Cell","Cell_type"
"JR1284_1_CSF_all.fcs.2280",245880.03125,195940.0859375,72137.4921875,33547.359375,0.318842536235419,0.413500344853359,4.20994252498181,1.09643153069185,-0.714898401571884,4.79575197017202,-0.561457702875875,-0.191473400646296,0.780936814519679,0.916151532815665,2.68653626459488,1.95423828375908,107.190002441406,4.79575197017202,-0.307186405783047,3,"I6","1284_1_3_I06","CD4T"
"JR1284_1_CSF_all.fcs.2315",304877.96875,257678.96875,67660.6953125,41168.9609375,0.318588892931924,0.155260589336982,4.53328093213339,-0.725579283774608,-0.883946910322629,5.11729112137708,1.09392341518388,-0.204550073996841,-0.0898303900734397,0.839729542989467,2.55330919215308,2.37640436366207,108.817199707031,5.11729112137708,0.493989845176232,3,"H6","1284_1_3_H06","CD4T"
"JR1284_1_CSF_all.fcs.2326",283271.09375,245879.765625,73023.0546875,44776.48046875,0.174047454453439,0.239146951062068,3.8622711866916,0.797670015603553,-0.798110152235453,4.53087942916007,0.475607947649674,-0.776976907831378,0.227876025443795,0.457976644041325,2.18197751089581,2.32908950717292,109.766700744629,4.53087942916007,0.174231863409725,3,"G6","1284_1_3_G06","CD4T"
"JR1284_1_CSF_all.fcs.2337",302528.78125,249642.96875,80903.3515625,49124.3203125,0.114619637904973,-0.691545621898449,4.73660836494164,0.872807830751883,0.337747449706327,4.91445892091091,0.807094914487422,-0.343110743360281,-0.665430449704093,1.06923057318779,2.85939274719953,0.772677926862824,110.708679199219,4.91445892091091,-0.127015240340536,3,"F6","1284_1_3_F06","CD4T"
"JR1284_1_CSF_all.fcs.2353",291751.0625,261063.609375,56050.7734375,34707.6796875,-0.124120961253469,0.409249463763514,4.52352650204911,0.703685882695714,-0.0128361371926455,4.84561764029553,1.16694428730693,0.166661223219634,0.0797420678143664,1.16857140162917,2.27789595705472,1.99936636039172,111.755111694336,4.84561764029553,0.522631506262792,3,"E6","1284_1_3_E06","CD4T"
"JR1284_1_CSF_all.fcs.2371",287274.3125,253933.6875,59749.2421875,36197.28125,0.585919075853639,0.90875251223183,3.87402298488228,0.411548525124647,-0.999051194281207,4.98205612225449,-0.97828638616344,0.447790075110895,-1.28516552707102,1.35613563662539,2.45326051572727,1.87888381740821,112.886444091797,4.98205612225449,0.368391758797529,3,"D6","1284_1_3_D06","CD4T"
"JR1284_1_CSF_all.fcs.2395",317476.34375,268974.171875,80388.8359375,49954.23828125,1.06411653711442,0.100764835093604,4.258875991845,-1.33897219854691,-0.232701837723586,-0.667176797062853,0.907162642393444,0.334145111015006,0.384349779393816,5.79418802330162,2.01228767416057,1.03785147455495,114.333106994629,-0.667176797062853,-0.152721733349632,3,"C6","1284_1_3_C06","CD8T"
"JR1284_1_CSF_all.fcs.2412",315115.3125,285226.484375,65248.1171875,42201.6015625,0.556664015052349,0.556674148472685,5.11779996819192,-1.6112613280515,0.230325709317976,0.564486929852456,-0.0650006962966294,-0.202074250561128,-1.17719420329729,6.79614455239258,2.67970820410102,2.82960849844346,115.280731201172,0.564486929852456,0.712197995453599,3,"B6","1284_1_3_B06","CD8T"
"JR1284_1_CSF_all.fcs.2427",241224.5625,227494.96875,77739.65625,47574.23828125,0.290337435048262,3.9759125864819,4.57391106530223,0.512534234554947,-0.401370836376352,0.150005551713608,-0.27611772832867,0.46469532471005,0.519831268236213,2.98546820769563,0.627277371643539,0.170587241729129,116.27082824707,0.150005551713608,-0.732990956743922,3,"A6","1284_1_3_A06","NK"
"JR1284_1_CSF_all.fcs.2452",278442.71875,237278.171875,75245.8125,43883.83984375,0.154901823600178,0.0425368964759234,4.69612011243787,1.24060410258929,-0.535203770617872,4.98383674255231,0.74131971009498,-0.570186855203159,-0.283151063093949,0.954061838996891,2.56748011699158,0.870605720061091,117.648162841797,4.98383674255231,0.536493005156556,3,"A7","1284_1_3_A07","CD4T"
"JR1284_1_CSF_all.fcs.2469",292823.625,264327.28125,55704.30078125,33110.55859375,-0.0823607504070982,0.562176742290685,4.19083422240681,0.23558653037244,0.264189810592336,4.71079730144972,1.22743888757464,0.000793449143158283,0.149471088532707,0.963013619288786,3.21035063081789,2.3186716896534,118.971839904785,4.71079730144972,-0.418469608873744,3,"B7","1284_1_3_B07","CD4T"
"JR1284_1_CSF_all.fcs.2484",279928.75,242609.359375,64701.15625,38265.921875,0.733794063896204,-0.103765117687309,4.58261985375573,-0.339193719804112,-0.878163126712808,-0.231228664524473,0.780910570508367,-0.0908643586395549,-0.24795038052782,5.24192346197524,2.41794730480524,1.57967722140503,119.955490112305,-0.231228664524473,1.57874395600627,3,"C7","1284_1_3_C07","CD8T"
"JR1284_1_CSF_all.fcs.2497",237530.734375,222646.484375,48570.59765625,30773.12109375,0.0884904284971771,-0.56035466541417,4.01706714968974,-0.440200640865169,-0.281167603194265,3.67521392014776,-0.126781760321752,0.47053717303863,0.326941948220946,1.35721656297318,2.46102161390201,3.31781480784973,120.834373474121,3.67521392014776,-0.349431136323979,3,"D7","1284_1_3_D07","CD4T"
"JR1284_1_CSF_all.fcs.2514",232137.28125,209857.203125,85387.703125,55089.44140625,0.373794672764277,0.37587146681496,4.55559170351053,1.27478902426042,-0.635627954879013,4.48948372625931,-0.395079533879619,-0.453432117167901,-0.30149780408801,0.607039933578359,3.1894830506378,1.72839306053537,122.134536743164,4.48948372625931,0.405262648020786,3,"E7","1284_1_3_E07","CD4T"
"JR1284_1_CSF_all.fcs.2534",249143.671875,235194.96875,63754.05859375,41725.6015625,0.0230409458398662,1.11632436302496,4.34862119474995,0.59744959469315,0.276990793558454,4.88002610340518,-0.182084605252651,-0.140340240909472,0.945054383293433,0.468958607502539,2.28526673881637,0.778184376008607,123.428268432617,4.88002610340518,-0.680628943014134,3,"F7","1284_1_3_F07","CD4T"
"JR1284_1_CSF_all.fcs.2548",220546.25,217936.890625,61524.34765625,33231.51953125,2.28229705799147,0.0964139704402828,4.03481442728453,0.442959711230208,-0.56660249649028,2.25014032092288,-0.397746273127166,3.58373224509615,-0.38905781646072,0.880967495115466,0.820810903886118,1.62140557911821,124.32445526123,-0.404310999123429,2.25014032092288,3,"G7","1284_1_3_G07","B"
"JR1284_1_CSF_all.fcs.2563",235270.03125,211028.71875,80748.015625,48499.359375,0.499146331929359,-0.0395112789025456,4.39011175660848,-0.395405741193707,-0.13171635692912,4.98075687958695,0.765899703068259,-0.0517559712233212,-1.03454307515937,1.31143333202542,2.68966129938897,2.13447598101744,125.258880615234,4.98075687958695,-0.479009514365478,3,"H7","1284_1_3_H07","CD4T"
"JR1284_1_CSF_all.fcs.2586",238887.046875,239290.8125,51784.5078125,30372.16015625,3.99512111162622,0.0747324885396119,4.19972135563058,-1.3323144530213,-0.193851442145485,3.07161252682343,-0.535783515072014,3.87143238494573,0.736193749604483,0.224239916470613,-0.45772547175013,1.54975301670783,126.821960449219,-0.5301613376578,3.07161252682343,3,"I7","1284_1_3_I07","B"
"JR1284_1_CSF_all.fcs.2604",290880,266028.5625,50696.14453125,34754.71875,0.451511388297027,1.27760726576375,4.42268897281501,1.01482925562161,-0.989873072348619,4.90646203487875,-1.36070824364535,0.544824081947371,0.64060533537497,0.368659071888003,3.42803034731508,3.14000145424175,127.742721557617,4.90646203487875,0.896657428635112,3,"J7","1284_1_3_J07","CD4T"
