"CELL","HamClone","SubClone","Germline_mu_count_cdr3_r","Germline_mu_count_cdr3_s","Cell_1_mu_count_cdr3_r","Cell_1_mu_count_cdr3_s","Cell_2_mu_count_cdr3_r","Cell_2_mu_count_cdr3_s","Cell_3_mu_count_cdr3_r","Cell_3_mu_count_cdr3_s","Cell_4_mu_count_cdr3_r","Cell_4_mu_count_cdr3_s","Cell_5_mu_count_cdr3_r","Cell_5_mu_count_cdr3_s","Cell_6_mu_count_cdr3_r","Cell_6_mu_count_cdr3_s","Cell_7_mu_count_cdr3_r","Cell_7_mu_count_cdr3_s"
"1166_1_1_G18",111,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_F15",319,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_B06",335,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_D03",202,3,2,1,2,1,1,0,1,0,2,1,1,0,1,0,1,0
"1166_1_2_B03",318,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_I16",214,3,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"1166_1_2_M07",233,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N13",293,1,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_D09",212,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_A10",333,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_H08",354,2,4,1,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J16",291,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_I11",202,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0
"1166_1_2_P15",84,1,2,0,0,0,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J07",291,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N01",147,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_1_O04",429,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_E06",83,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_I08",158,1,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_G12",335,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_G08",214,4,1,0,0,0,0,1,0,2,0,2,NA,NA,NA,NA,NA,NA
"1166_1_2_H13",295,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_C12",293,1,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J02",5,1,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_C09",203,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N03",333,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_F12",202,5,1,2,0,0,1,1,2,1,1,1,1,1,1,1,1,1
"1166_1_2_K04",227,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_E15",212,2,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_G04",391,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_D11",310,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_G13",84,1,2,0,0,0,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_1_O20",429,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N05",202,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"1166_1_2_H15",111,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_A11",318,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_D05",256,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_H09",214,1,1,1,0,2,0,1,0,2,0,2,NA,NA,NA,NA,NA,NA
"1166_1_2_G03",151,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_B10",394,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_H02",256,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_F04",310,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_F07",394,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N07",354,1,2,2,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_L14",202,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"1166_1_2_J12",212,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_K12",233,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_1_D14",295,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_M05",214,2,1,1,0,2,0,1,0,2,0,2,NA,NA,NA,NA,NA,NA
"1166_1_2_M12",202,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"1166_1_2_F02",391,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_G09",151,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_B07",415,1,6,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_G03",438,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_H05",415,2,6,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_J08",91,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_K02",20,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_K03",44,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_K05",96,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_O05",91,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_2_P01",20,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_3_C01",44,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_3_E02",438,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_2_O04",75,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_A03",300,1,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_A05",272,1,3,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_C05",182,1,3,0,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_C06",98,3,5,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_D04",175,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_E01",75,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_E05",213,1,6,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_L02",461,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_4_O01",175,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_1_A18",438,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_1_G19",96,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227_1_1_N02",96,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_3_J02",276,1,3,1,0,1,0,2,0,2,0,0,0,2,0,0,NA,NA
"1284_1_6_A02",182,3,3,0,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_A04",393,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_C04",300,2,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_D03",213,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_E04",393,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_F01",175,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_G03",276,2,3,0,0,1,0,1,0,1,0,1,0,1,0,1,NA,NA
"1284_1_6_G05",461,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_H01",329,3,2,2,2,0,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_H02",329,1,3,2,2,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_J05",175,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_L01",98,1,4,0,2,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_L03",75,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_L04",75,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_N03",182,2,4,1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_O03",175,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_6_P03",75,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_G01",98,2,3,0,3,1,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_F01",276,3,3,0,0,2,0,1,0,0,0,2,0,0,0,2,NA,NA
"1284_1_5_F06",75,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_N03",175,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_K01",276,3,3,0,0,2,0,1,0,0,0,2,0,0,0,2,NA,NA
"1284_1_5_O03",98,1,4,0,2,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_N04",272,1,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_A06",329,2,3,2,2,1,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_1_H07",276,1,3,1,0,0,0,1,0,2,0,2,0,2,0,0,NA,NA
"1284_1_5_A04",325,1,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_1_F01",336,2,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_1_A09",325,1,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_P01",329,4,2,1,3,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_C05",336,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_1_N09",272,1,3,3,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_F05",336,2,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284_1_5_C01",276,3,3,0,0,2,0,1,0,0,0,0,0,2,0,2,NA,NA
"1284_1_1_B07",276,1,3,1,0,0,0,1,0,2,0,2,0,0,0,2,NA,NA
