CELL,HamClone,SubClone,Germline_all_mut,Germline_replacement_mut,Cell_1_all_mut,Cell_1_replacement_mut,Cell_2_all_mut,Cell_2_replacement_mut,Cell_3_all_mut,Cell_3_replacement_mut,Cell_4_all_mut,Cell_4_replacement_mut,Cell_5_all_mut,Cell_5_replacement_mut,Cell_6_all_mut,Cell_6_replacement_mut,Cell_7_all_mut,Cell_7_replacement_mut
1284_1_6_D03,213,2,22,15,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H09,214,1,27,22,13,9,6,5,13,9,5,3,NA,NA,NA,NA,NA,NA
1166_1_2_M05,214,2,14,12,5,3,3,2,5,3,5,3,NA,NA,NA,NA,NA,NA
1166_1_2_I16,214,3,16,14,5,3,5,3,6,5,3,2,NA,NA,NA,NA,NA,NA
1166_1_2_L16,214,4,19,14,5,3,0,0,13,8,5,3,NA,NA,NA,NA,NA,NA
1166_1_2_G08,214,4,19,14,0,0,5,3,13,8,5,3,NA,NA,NA,NA,NA,NA
1166_1_2_K07,227,1,16,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_K04,227,1,16,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_M07,233,1,13,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_K12,233,1,15,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_L15,235,1,18,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J05,235,1,32,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J08,252,1,28,24,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_M09,252,2,26,21,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_D05,256,1,14,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H02,256,1,14,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_A05,272,1,30,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_N04,272,1,20,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_1_N09,272,1,30,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_3_J02,276,1,21,15,4,3,11,5,9,4,0,0,9,4,0,0,NA,NA
1284_1_1_H07,276,1,23,16,0,0,4,3,12,6,9,4,9,4,0,0,NA,NA
1284_1_1_B07,276,1,18,13,0,0,3,2,9,4,9,4,0,0,9,4,NA,NA
1284_1_6_G03,276,2,19,13,4,3,10,5,6,2,4,3,6,2,3,2,NA,NA
1284_1_5_F01,276,3,19,12,11,5,10,5,0,0,12,6,0,0,9,4,NA,NA
1284_1_5_K01,276,3,12,8,9,4,6,2,0,0,9,4,0,0,9,4,NA,NA
1284_1_5_C01,276,3,12,8,9,4,6,2,0,0,0,0,9,4,9,4,NA,NA
1166_1_2_F14,291,1,29,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J16,291,1,29,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J07,291,1,29,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N13,293,1,8,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_C12,293,1,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H13,295,1,15,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_D14,295,1,15,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_A03,300,1,49,37,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_C04,300,2,57,41,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_D11,310,1,12,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_F04,310,1,12,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_B03,318,1,31,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_A11,318,1,31,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_F15,319,1,29,19,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_I02,319,2,32,17,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_A04,325,1,39,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_1_A09,325,1,39,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_H02,329,1,17,11,9,5,5,2,22,14,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_A06,329,2,34,24,24,15,5,2,30,18,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_H01,329,3,35,25,9,6,24,15,32,22,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_P01,329,4,29,23,32,22,22,15,30,18,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_A10,333,1,33,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N03,333,1,33,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_B06,335,1,11,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_G12,335,1,11,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_C05,336,1,23,13,14,10,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_1_F01,336,2,15,11,14,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_F05,336,2,25,18,0,0,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_C11,354,1,21,17,8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N07,354,1,15,12,0,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H08,354,2,19,14,8,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_G04,391,1,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_F02,391,1,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_A04,393,1,43,31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_E04,393,1,43,31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_B10,394,1,21,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_F07,394,1,21,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_B07,415,1,29,23,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_H05,415,2,28,23,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_O04,429,1,12,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_O20,429,1,16,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_G03,438,1,33,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_3_E02,438,1,33,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_1_A18,438,1,33,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_L02,461,1,29,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_G05,461,2,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
