"","x"
"338_DNASE1L1",0.567970438701551
"339_DDX11",1
"340_HEBP1",0.95342042525676
"341_GPRC5A",0.761043236174645
"342_MAMLD1",NA
"343_CD6",0.380785160856726
"344_TACC3",0.839935888062712
"345_UFL1",0.447285779460345
"346_POLA2",0.719460997902539
"347_ZC3H3",0.265865120881127
"348_CAPN1",0.278047500900288
"349_ACPP",0.0806924691375456
"350_MDH1",0.613626079299628
"351_SLC30A9",0.642895129432381
"352_MTMR11",0.439053397621579
"353_COX15",0.420538027630949
"354_CCDC88C",0.640583670911443
"355_YAF2",0.032038302506157
"356_ZMYND11",0.355834739217213
"357_WAS",0.9625757500589
"358_DPEP1",0.396029422520896
"359_BID",0.90757518990954
"360_MATR3",0.886778376938038
"361_NPC1L1",0.591860508040308
"362_XYLT2",0.293389480879087
"363_RGPD5",0.620365867662889
"364_STMN4",NA
"365_NUDCD3",0.626774297856377
"366_ISL1",NA
"367_CHDH",0.169361812050361
"368_IL20RA",NA
"369_CLCA1",NA
"370_CLCA4",NA
"371_GLT8D1",0.83626760360159
"372_ATP2C1",0.947374328825695
"373_IGF1",0.81577667829478
"374_SLC38A5",0.545965479213153
"375_RALBP1",0.731578308918411
"376_RUFY3",0.880173556627877
"377_CNTN1",NA
"378_SLC11A1",0.238410525889091
"379_WWTR1",0.979404686208669
"380_AGPS",0.171667561497802
"381_CXorf56",0.696550501355462
"382_ATP1A2",0.208990108458006
"383_TTC27",0.0368052372662231
"384_ZNF582",0.0771485286208426
"385_VSIG2",NA
"386_PHLDB1",0.0500474893350015
"387_MARCO",NA
"388_CYP24A1",NA
"389_PRDM11",NA
"390_SYT13",0.266253520083925
"391_SNAI2",NA
"392_CD74",0.302690184519751
"393_HGF",NA
"394_ZRANB1",0.697827448545254
"395_NCDN",0.384145548974303
"396_ADGRA2",0.33881136432274
"397_ZFP64",0.00971944676112818
"398_MNAT1",0.412040580511084
"399_SAMD4A",0.33881136432274
"400_RUNX3",0.827603434090297
"401_MRE11",0.729315725437147
"402_PLEKHB1",0.000269999732648517
"403_SERPINB1",0.0523253385995892
"404_CYP3A43",0.687991358363873
"405_SLC7A9",0.0739149364780842
"406_SPAST",0.828954012651685
"407_NRXN3",0.770911735933181
"408_OSBPL5",NA
"409_AQR",0.114667422514699
"410_CPS1",0.683865429114758
"411_C8B",NA
"412_FHL1",NA
"413_RTF2",0.882870969360492
"414_GABRA1",NA
"415_NLRP2",NA
"416_SLC45A4",0.374562902034965
"417_RNF10",0.012242488771979
"418_ZNF839",0.554301115908632
"419_ZDHHC6",0.131118698230129
"420_GRAMD1B",0.451530271123515
"421_RNH1",0.220795238176612
"422_NDUFS1",0.0928801027112407
"423_RB1CC1",0.386537190478315
"424_ERP44",0.987139692610508
"425_ALAS1",0.423174329408436
"426_BIRC3",0.7882791623569
"427_AKAP11",0.611961041769342
"428_GLRX2",0.666887519257781
"429_SNAPC1",0.0999179348494051
"430_DERA",0.828476298012779
"431_STRAP",0.523748240476255
"432_ABCC2",0.648163828278316
"433_DEF6",0.856415900129912
"434_PLEKHO1",0.477910740020284
"435_GCLM",0.292174193461256
"436_UBR2",0.793142142764718
"437_EHD2",0.374562902034965
"438_DEPDC1",0.642311483575664
"439_CCDC28A",0.333599145759104
"440_RRAGD",0.835649289810816
"441_HSF2",0.801234738533027
"442_PHF20",0.617717532670697
"443_HSD17B6",0.922445751352687
"444_NR1H3",0.840789478625393
"445_TYMP",0.90682649102565
"446_NCAPH2",0.786077517263833
"447_TOMM34",0.446955395187916
"448_SEC63",0.123717504469154
"449_KPNA6",0.345256712986814
"450_VIM",0.310905889126902
"451_RTEL1-TNFRSF6B",0.931374751606966
"452_FAS",0.626377197628674
"453_RNASET2",0.172209261093198
"454_CD44",0.730702727132636
"455_KCNG1",0.0845821958871036
"456_AGPAT4",0.439053397621579
"457_SLAMF7",0.064787430950639
"458_BTN3A1",0.457776856886165
"459_MIPEP",0.302161127791116
"460_PRKCH",0.0739149364780842
"461_INSRR",NA
"462_IFNGR1",0.714353733170559
"463_B4GALT7",0.16018381245012
"464_SH2D2A",0.883862112587888
"465_VRK2",0.865653247966024
"466_TNFRSF1B",0.93951382899228
"467_VEZT",0.0426971617943744
"468_POU2F2",0.311288259967572
"469_BRD9",0.125365192429998
"470_SNX1",0.162219662790615
"471_TBPL1",0.931157647547719
"472_ARNTL2",0.801362396995352
"473_BCLAF1",0.55657554591729
"474_SLC39A9",0.760813511278226
"475_ANK1",0.0107812456259104
"476_IBSP",NA
"477_TFB1M",0.937869039729738
"478_RABEP1",0.518728636325827
"479_HMGB3",0.519074432862574
"480_NUP160",0.45209407562144
"481_BAK1",0.939423250040285
"482_MUSK",NA
"483_IKZF2",NA
"484_GRN",0.969765886637978
"485_FAM13B",0.419756807968667
"486_ARHGAP31",0.919432452738522
"487_CENPQ",0.162463641501883
"488_SARS",0.587635051163839
"489_RANBP3",0.885675904067769
"490_ARID4A",0.0904497923049804
"491_EIPR1",0.324292680250419
"492_PNPLA6",0.6874659595883
"493_IFT88",0.72746015053083
"494_ALG1",0.231009689251656
"495_ZCCHC8",0.910425463319537
"496_ABCF2",0.0926056931357487
"497_CHPF2",0.179022841428852
"498_LRRC7",0.121627849713219
"499_FUT8",0.127832923878647
"500_UBA6",0.0982403040285044
"501_GAB2",0.363396760198769
"502_ATP6V0A1",0.271979076680614
"503_PIAS1",0.234994356888791
"504_SLC4A7",0.407305063933977
"505_APBA2",0.591860508040308
"506_MAP2K3",0.965138134192017
"507_EFCAB1",NA
"508_TMSB10",0.842559286559188
"509_ASTE1",0.0809393805949301
"510_RNF19A",0.391233531590161
"511_PEX3",0.825003114482005
"512_GABARAPL2",0.614659793008149
"513_MYOC",NA
"514_SH3YL1",0.53355487026219
"515_FAM136A",0.718629883683272
"516_VCL",0.170123822618907
"517_DEPDC1B",0.624633920763503
"518_DAPK2",0.872237735955938
"519_NSMAF",0.360009568698393
"520_ADSS",0.82840542132176
"521_STAP1",0.551665617568331
"522_TIMP2",0.0107812456259104
"523_RFC1",0.871862266049888
"524_TBC1D23",0.5042920031043
"525_CUL3",0.277226620988666
"526_MYOM2",NA
"527_OTC",NA
"528_CYP46A1",0.112709606409005
"529_",0.0234007056015552
"530_SLC18A1",NA
"531_USP2",0.439053397621579
"532_CASR",0.41072082010456
"533_TUBG2",0.75739479324306
"534_RPL26L1",0.0531418281786291
"535_FLT4",0.439053397621579
"536_NSUN2",0.776338287953186
"537_FBXO42",0.0840283826760043
"538_MFAP3",0.858203977075058
"539_MRI1",0.710525608364261
"540_METTL1",0.821233784901666
"541_HOXC8",NA
"542_AGA",0.365038781584794
"543_PI4K2B",0.571716688977374
"544_BOD1L1",0.223195261643037
"545_MAT2B",0.876179533261682
"546_TLL1",NA
"547_EDC4",0.0611606063889469
"548_TRIO",0.658231007498429
"549_VCAN",0.591860508040308
"550_CLEC16A",0.897734543293802
"551_MSR1",0.33881136432274
"552_CDH1",0.468546301677988
"553_MTREX",0.47239425438852
"554_DNAH5",NA
"555_ZFYVE16",0.84275291054538
"556_RIPOR1",0.563574208560943
"557_C6",NA
"558_RAI14",NA
"559_SOX30",0.266253520083925
"560_PNKP",0.429809651317235
"561_BEST2",0.266253520083925
"562_PHLPP2",0.89827558604341
"563_SPDL1",0.764888814649657
"564_STAU2",0.0125057586319291
"565_SLC66A1",0.0431211565172327
"566_CTNS",0.184899349014996
"567_RTN4R",0.591860508040308
"568_PHF23",0.505465214265339
"569_CDH10",0.439053397621579
"570_INPP4A",0.41501329669645
"571_RAB27B",NA
"572_PSMA4",0.301410764557454
"573_MYO16",NA
"574_LSG1",0.188483296881621
"575_PARP3",0.500760362291275
"576_TNC",0.591860508040308
"577_THAP3",0.80895417752512
"578_RIPOR3",0.145280100828693
"579_TDP1",0.0607622600062002
"580_AIFM2",0.183924974575237
"581_C2orf83",0.731634937301072
"582_SPATA7",0.266253520083925
"583_MED17",0.35777216076714
"584_RETSAT",0.594145385135246
"585_CAPG",0.628659565146729
"586_AP2S1",0.17475119053938
"587_USH2A",NA
"588_ZPBP",NA
"589_TG",0.0238155059636166
"590_ADAM28",0.580363502129617
"591_BARX2",0.927981520806856
"592_DCUN1D1",0.904412325617169
"593_JADE2",0.310990932100871
"594_ZIC2",NA
"595_LCP2",0.824995334427788
"596_TRIT1",0.418585150286948
"597_ADRB1",NA
"598_GUCA2B",NA
"599_CUL7",0.198256773530322
"600_CTNNA1",0.347983714417585
"601_PHKA2",0.949912174821304
"602_CNTLN",0.067317691606888
"603_EPHA3",NA
"604_HSPA5",0.297681682373071
"605_DSG2",0.0813012250326376
"606_GEMIN8",0.651671221990845
"607_OFD1",0.926872730732436
"608_GPM6B",0.439053397621579
"609_MAGEC2",NA
"610_PREX2",0.215750320153006
"611_WDR37",0.0930403043475156
"612_YTHDC2",0.471446241907068
"613_CTPS2",0.556810913477737
"614_ATP6V1H",0.862212658076336
"615_POLR2B",0.967183819109985
"616_FAM214A",0.953763862216399
"617_ARAP2",NA
"618_TPR",0.730065693859991
"619_CP",0.439053397621579
"620_KIAA0556",0.745347207423462
"621_DTNBP1",0.871390126965334
"622_XK",0.135460975224682
"623_ANO2",NA
"624_C12orf4",0.543487037383564
"625_SCML1",NA
"626_WWC3",0.046742898677361
"627_ARHGAP6",NA
"628_FAM184B",0.135460975224682
"629_MAP4",0.533423031798477
"630_GOPC",0.023521359993599
"631_ROS1",NA
"632_USP28",1
"633_HDAC9",0.698620106105384
"634_TSPAN17",0.489387700634925
"635_NOP16",0.0825403692355487
"636_CC2D2A",0.663884041154505
"637_RRM2B",0.262742424085535
"638_ZNF800",0.450686983698027
"639_TNFRSF17",0.713083822195673
"640_SNX29",0.583660092328769
"641_LMO3",NA
"642_MRPS10",0.916168067903992
"643_GUCA1A",0.266253520083925
"644_RSF1",0.335603740540438
"645_VPS13D",0.864585523403306
"646_CELF2",0.912990758357946
"647_FAM120A",0.985648339150777
"648_R3HDM1",0.0846109260825883
"649_COL9A2",0.915960390065936
"650_KITLG",NA
"651_ERCC8",0.426694977875507
"652_ADAMTS6",0.0806924691375456
"653_H6PD",0.14464850518588
"654_VAMP3",0.0513362514556969
"655_PER3",0.677500208989774
"656_UTS2",NA
"657_TNFRSF9",0.190421392420081
"658_EPN3",NA
"659_LTBP1",NA
"660_RCN1",0.819763331410241
"661_ELN",0.845575527124784
"662_RFC2",0.841324901876572
"663_ARID1B",0.132234385388453
"664_CLPTM1L",0.652880835194227
"665_NEDD4L",0.30871009334066
"666_FOXP3",NA
"667_PPP1R3F",0.374562902034965
"668_HEXB",0.56148225338908
"669_PTCD2",0.790017363983149
"670_NEXMIF",NA
"671_JKAMP",0.879585324774803
"672_DKK3",0.591860508040308
"673_ARHGEF5",NA
"674_NFE2L3",0.234519161322229
"675_MCUR1",0.140899795803492
"676_LIMA1",0.12683153304221
"677_LETMD1",0.53689359725196
"678_SLC4A8",0.212523468166312
"679_LAMC3",0.266253520083925
"680_PTGER3",NA
"681_TNIP3",0.388363717216985
"682_MAPK9",0.568325254918742
"683_COL23A1",NA
"684_BCAR1",0.374562902034965
"685_FAM160A2",0.278022552099806
"686_HERPUD1",0.192078042109502
"687_HOMER3",NA
"688_RAD51",0.863340580157818
"689_POLQ",0.394815768233733
"690_PIK3CB",0.473744700835539
"691_CYBA",0.711083596049545
"692_THOC3",0.469216934723149
"693_HEBP2",0.664657232079329
"694_MPHOSPH9",0.371651824023607
"695_PLEKHA5",0.994163942478314
"696_PRSS8",0.591860508040308
"697_SIKE1",0.160167559813977
"698_RRP12",0.00195364924782295
"699_FNIP2",0.33881136432274
"700_MSMO1",0.379201676722517
"701_TTC17",0.118723091663767
"702_ALX4",NA
"703_FSTL4",0.196183666092835
"704_FOXN3",0.196380654226864
"705_METTL24",NA
"706_AKR7A2",0.0344844517100448
"707_MRTO4",0.239736823288782
"708_NNAT",NA
"709_USE1",0.886219352604541
"710_MCF2L2",0.0338435785229696
"711_NRIP2",0.121123367762304
"712_LAMA3",NA
"713_AP5M1",0.327146940076634
