"","x"
"404_CYP3A43",0.600057590380957
"405_SLC7A9",NA
"406_SPAST",0.204800698088413
"407_NRXN3",0.258455809416087
"408_OSBPL5",NA
"409_AQR",0.674123575482885
"410_CPS1",0.181552565043852
"411_C8B",NA
"412_FHL1",NA
"413_RTF2",0.783718598043351
"414_GABRA1",NA
"415_NLRP2",NA
"416_SLC45A4",0.509431083384538
"417_RNF10",0.41809361778346
"418_ZNF839",0.480350870523823
"419_ZDHHC6",0.387036778942255
"420_GRAMD1B",0.84879537708875
"421_RNH1",0.0599340504339726
"422_NDUFS1",0.380908082482763
"423_RB1CC1",0.496468840019156
"424_ERP44",0.906948154842069
"425_ALAS1",0.815912464817973
"426_BIRC3",0.876033239931195
"427_AKAP11",0.328003651456155
"428_GLRX2",0.422809465051776
"429_SNAPC1",0.365591401268397
"430_DERA",0.576069838643892
"431_STRAP",0.149635318379948
"432_ABCC2",0.835826790215438
"433_DEF6",0.813233634242967
"434_PLEKHO1",0.46337591081226
"435_GCLM",0.136157448417869
"436_UBR2",0.705104149198922
"437_EHD2",0.509431083384538
"438_DEPDC1",0.818201728820233
"439_CCDC28A",0.874159500778712
"440_RRAGD",0.277206579889328
"441_HSF2",0.396449008020374
"442_PHF20",0.608734698747697
"443_HSD17B6",0.93609767577543
"444_NR1H3",0.818510852790955
"445_TYMP",0.588999713858958
"446_NCAPH2",0.929940036557105
"447_TOMM34",0.19368223140074
"448_SEC63",0.503630897153216
"449_KPNA6",0.751461667785585
"450_VIM",0.548063648131816
"451_RTEL1-TNFRSF6B",0.813179086945139
"452_FAS",0.252870255428943
"453_RNASET2",0.460360982525373
"454_CD44",0.189171028453085
"455_KCNG1",0.448922231110144
"456_AGPAT4",0.0382756885724808
"457_SLAMF7",0.609366883847094
"458_BTN3A1",0.947641643205032
"459_MIPEP",0.20921081202369
"460_PRKCH",NA
"461_INSRR",NA
"462_IFNGR1",0.52702439963299
"463_B4GALT7",0.223977272508694
"464_SH2D2A",0.170138759565363
"465_VRK2",0.428009466707348
"466_TNFRSF1B",0.523861908464065
"467_VEZT",0.623651308620491
"468_POU2F2",0.265219965804531
"469_BRD9",0.272045158467314
"470_SNX1",0.0899972737717647
"471_TBPL1",0.177380487551236
