X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30
-3395.4573,-6912.0547,-17071.63,-8102.9375,-5106.192,-8799.823,-3937.8152,15864.046,4293.3794,7239.8364,6222.459,-4891.698,12157.844,-1802.432,-12314.583,-8134.246,-6548.9907,7540.1987,-3891.6387,12830.539,5175.0093,-661.92206,-1066.3486,-5491.559,514.47363,4712.229,3002.553,-3924.6814,1185.6935,-98.88598
-31980.227,6018.3936,-9922.325,-5440.8086,4052.5808,407.01917,5828.5854,5364.2515,6827.0093,-1427.391,-1495.9175,-527.5653,4311.485,1029.275,-3938.1165,-3473.2234,-1218.5648,4276.6377,-2494.9836,2722.8474,-3826.8877,-1152.398,5958.2324,9846.032,2053.3108,-824.82947,-1648.7358,-1081.2573,4510.88,156.83559
14012.733,-10258.329,-14676.374,-6277.052,-3128.029,-5214.9077,595.7904,-1402.4635,1116.8131,-2381.0554,4804.2026,-5623.82,21429.809,1499.24,-9850.117,-7676.874,3775.9626,6141.249,964.75854,584.3764,2966.7676,-3937.7852,-2759.7163,400.65543,1485.0367,-5584.2705,6459.0063,6533.4854,-6888.3506,-3827.2222
48017.457,-4661.8013,44034.54,-32829.34,24133.23,14629.711,-20340.17,-10390.41,15650.383,3457.6892,-11196.007,-13833.034,2549.5085,-1974.5922,-21098.81,4050.6038,-6906.989,-1890.7102,10089.906,17598.982,648.66766,7416.151,7930.1016,-4274.42,4349.4556,-7568.5474,-14225.839,7479.725,-10328.454,-4215.9814
-36343.883,12145.78,-4353.11,-3226.888,3500.7554,-2060.975,1733.9272,-2049.708,-3762.599,4034.5024,171.85194,770.24005,-6410.9766,-1635.3397,-2283.1365,-1586.0342,-692.6021,-489.57864,-1028.7046,-1698.948,-6533.406,-226.87201,6370.94,12546.701,3400.3152,-486.9921,-2356.062,-1659.2821,1688.3035,2308.215
-28150.93,2651.7817,-9310.986,-3761.5093,3063.818,2493.6743,6437.6406,5544.914,6571.7236,-2428.67,-2146.6702,334.29315,-1562.6827,27.026999,810.79816,1285.0166,-674.4809,-312.15356,-766.39026,108.80326,-1921.9097,-23.607494,3705.3152,5250.705,227.19783,-871.6649,582.9056,477.2288,3501.4927,-1647.3582
-31066.953,6294.0957,-6776.0566,-3313.9385,3474.2876,-664.3313,5373.218,3098.034,5228.5176,-184.49187,-2502.4885,-201.97203,-771.7419,315.535,-941.2375,-1100.796,401.8234,1219.4478,-2681.4167,-2092.3218,-8930.513,910.85394,9795.118,16891.764,1946.0437,-4355.144,-2954.6655,-947.5595,3384.7935,-232.99635
48773.285,5299.5986,-8321.339,-8544.107,-16861.84,-3879.216,7400.228,-14815.486,-11553.466,4148.084,-14489.801,34919.254,31053.248,-5701.15,6209.3813,17572.67,8518.424,-14604.24,-16213.106,16841.41,-26668.96,516.4017,1180.6711,-6761.2085,-1664.8303,-3926.7024,3424.182,2226.5684,-4032.5706,43.742805
38938.914,-8114.4062,6141.9204,-5323.913,1872.4458,5735.456,-1933.8136,-1387.5924,264.96017,-3977.8928,-8218.51,-3835.5422,2640.841,3023.305,-1234.0436,-3883.7048,-2335.7383,4855.1377,4191.8022,-9255.768,-3344.5696,-2435.8005,4780.62,-7883.982,-3171.4714,-5650.876,-5420.004,260.21915,1700.0367,132.3737
9471.942,-16839.184,-10205.24,2038.707,-7657.6587,-1172.8239,185.26167,-626.5545,1752.3225,-9213.5625,2806.053,-4753.303,10039.606,1722.1775,-2986.4329,234.48358,758.7017,3026.7234,3.9880052,-754.7985,-157.99013,-5043.615,-4899.219,266.36526,3586.0977,-6466.377,2214.834,6328.643,-12147.674,4341.55
