CellID,n_counts
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F11.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F12.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F13.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F14.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F15.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G02.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G03.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G04.out.bam,1096135.6
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G05.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G06.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G07.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G08.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G09.out.bam,1096135.6
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G10.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G11.out.bam,1096135.4
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G12.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G13.out.bam,1096135.6
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G14.out.bam,1096135.4
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G15.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H02.out.bam,1096135.4
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H03.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H05.out.bam,1096135.6
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H06.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H07.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H08.out.bam,1096135.5
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H09.out.bam,1096135.5
