CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C06.out.bam,1129301,76039,1129301.0,958881.4,0.33174938,1,4595.19,0.9923053979873657,0.25179183,0.0,0.00454485382720574,0.13910162448883057
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C07.out.bam,1277425,114198,1277425.0,970713.94,0.17122656,1,4667.56,0.9934768676757812,0.6586616,0.0,0.003804247208048709,0.12376898527145386
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C08.out.bam,1213185,74879,1213185.0,945083.44,0.00045591593,1,2952.35,0.9588071703910828,0.9066975,0.0,0.002473939963573664,0.1363866925239563
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C09.out.bam,1715232,59035,1715232.0,966503.6,0.44293725,2,3337.53,0.9983318448066711,0.26667526,0.0,8.710108915330498e-06,0.05933678150177002
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C10.out.bam,1648074,187590,1648074.0,932845.3,0.61400247,0,670.3,0.42988207936286926,0.18194187,0.0,0.2009071723186919,0.9754138588905334
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C11.out.bam,1205410,66905,1205410.0,851692.25,0.34048504,2,4194.18,0.9962980151176453,0.5486066,0.0,0.0009168149426916046,0.09508275985717773
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C12.out.bam,1479187,144954,1479187.0,969382.25,0.40432063,2,4048.15,0.9974574446678162,0.123765014,0.0,0.0006204126518066984,0.06444704532623291
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C14.out.bam,1086727,84507,1086727.0,854618.4,0.51283157,1,4587.12,0.9911596775054932,0.16639505,0.0,0.006187942705103686,0.214697003364563
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C15.out.bam,1728985,300053,1728985.0,931773.94,0.5938949,0,868.54,0.3979988694190979,0.21516338,0.0,0.5852354829847163,0.9829258918762207
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D02.out.bam,1526418,106048,1526418.0,972810.2,0.3122403,2,2660.93,0.9961909651756287,0.4162475,0.0,0.0008949944980749513,0.1455133557319641
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D03.out.bam,1547940,73204,1547940.0,987352.56,0.32696795,2,3113.91,0.9927980899810791,0.447691,0.0,0.0009398626666650214,0.19316482543945312
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D04.out.bam,884891,52810,884891.0,785593.7,0.39689314,1,4599.46,0.9951744079589844,0.36100426,0.0,0.01008216747027934,0.25605159997940063
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D07.out.bam,1813498,115297,1813498.0,885988.5,0.46090192,2,2802.98,0.9967585802078247,0.26174423,0.0,0.00018394176625190453,0.11736297607421875
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D08.out.bam,652511,64132,652511.0,952807.1,0.12393844,1,2677.06,0.9886587262153625,0.7088751,0.0,0.006006777872360022,0.23364222049713135
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D09.out.bam,1793457,101318,1793457.0,940139.56,0.54099286,2,4949.74,0.9981979131698608,0.2203793,0.0,8.048647451327199e-05,0.050006866455078125
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D10.out.bam,1446438,96531,1446438.0,947713.2,0.0164994,1,4378.55,0.9877153038978577,0.8704916,0.0,0.0038239875147491643,0.2333166003227234
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D12.out.bam,1502814,61536,1502814.0,956619.44,0.5933182,2,3571.76,0.9981215000152588,0.15828581,0.0,0.0001681085065126359,0.12223958969116211
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D13.out.bam,1410868,445720,1410868.0,941245.06,0.60880935,0,561.74,0.3011525571346283,0.20844923,0.0,0.11231452399935171,0.7593020796775818
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D14.out.bam,1280401,71729,1280401.0,990601.3,0.20785344,2,4374.97,0.9977080225944519,0.59983927,0.0,0.0002708430192558509,0.11801135540008545
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D15.out.bam,1548934,72468,1548934.0,973331.94,0.32329935,2,3881.36,0.9969167113304138,0.5011373,0.0,0.0016267526882127051,0.12197405099868774
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E01.out.bam,1808652,100772,1808652.0,966897.56,0.5210865,2,3672.77,0.9984511733055115,0.25576955,0.0,0.00019618630919103307,0.08878171443939209
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E02.out.bam,2173930,83475,2173930.0,932910.44,0.2789377,2,2964.21,0.9943432211875916,0.47924048,0.0,0.00046353535687323675,0.18354684114456177
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E03.out.bam,1519780,125915,1519780.0,973565.56,0.49215764,1,3376.06,0.942195475101471,0.14503996,0.0,0.010040757436075826,0.24255633354187012
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E04.out.bam,730358,94750,730358.0,899655.6,0.16248554,1,3074.67,0.9250323176383972,0.58457726,0.0,0.00683007168142056,0.2762237787246704
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E05.out.bam,1370425,90671,1370425.0,977731.25,0.37160677,2,2125.02,0.9951108694076538,0.3063395,0.0,4.395460537957601e-05,0.027166783809661865
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E06.out.bam,710953,49965,710953.0,987626.3,0.47053573,1,3533.95,0.9899778962135315,0.16212419,0.0,0.011769687484987891,0.24120324850082397
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E07.out.bam,1196199,113845,1196199.0,887460.9,0.38759932,1,3577.35,0.9879595041275024,0.42058787,0.0,0.006708832438402326,0.2224375605583191
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E08.out.bam,1298009,155112,1298009.0,966194.6,0.1618483,1,2591.84,0.992607057094574,0.6334679,0.0,0.00962538973490895,0.25746387243270874
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E09.out.bam,1606157,78106,1606157.0,964816.9,0.49615806,2,2519.69,0.9977677464485168,0.25470182,0.0,3.414112119326702e-05,0.0650712251663208
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E10.out.bam,2071711,81231,2071711.0,981714.1,0.45633218,2,2717.66,0.9970486164093018,0.20581318,0.0,0.00013839624381326043,0.06936848163604736
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E11.out.bam,1203419,77376,1203419.0,964941.1,0.36066186,1,3778.02,0.9894819855690002,0.18651868,0.0,0.0034153651976532146,0.16650784015655518
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E12.out.bam,966735,75392,966735.0,950927.44,0.5152164,1,3484.28,0.9938753843307495,0.2234808,0.0,0.0095651067255635,0.24317944049835205
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E13.out.bam,820177,66602,820177.0,818490.8,0.34541047,1,4133.07,0.9931221604347229,0.5407366,0.0,0.008425284602741827,0.24098581075668335
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E14.out.bam,1743936,214463,1743936.0,964740.9,0.56024456,0,627.22,0.5066382884979248,0.2878762,0.0,0.5740092000920246,0.9738579392433167
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E15.out.bam,1445811,62650,1445811.0,998198.25,0.664315,2,4341.61,0.997490644454956,0.039578144,0.0,4.495621505503172e-05,0.08191198110580444
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F02.out.bam,1473152,210967,1473152.0,933128.75,0.47413233,0,711.69,0.3472887873649597,0.18497619,0.0,0.024931374779213828,0.7443224191665649
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F03.out.bam,1553443,98570,1553443.0,919512.56,0.56428826,2,3615.02,0.9981231689453125,0.06177346,0.0,0.0002650432917723126,0.10062670707702637
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F04.out.bam,1703456,74669,1703456.0,963222.0,0.5784944,2,3021.04,0.9979090690612793,0.16224924,0.0,5.855264190507955e-06,0.0
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F05.out.bam,1667376,85398,1667376.0,965964.75,0.4797808,2,3984.55,0.9955894947052002,0.36346108,0.0,0.00022008414667563976,0.10007321834564209
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F06.out.bam,760677,45732,760677.0,963824.3,0.444792,1,3440.48,0.9948174953460693,0.33629724,0.0,0.006221340388120829,0.20365166664123535
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F07.out.bam,1002992,149065,1002992.0,966676.9,0.23515171,1,3083.47,0.9913901686668396,0.5473084,0.0,0.004755445514773604,0.2341628074645996
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F08.out.bam,849411,64796,849411.0,938910.44,0.32429034,2,3870.69,0.9971963763237,0.5912737,0.0,0.0006456684808645092,0.07533490657806396
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F09.out.bam,458403,48243,458403.0,920283.8,0.46905267,1,4598.07,0.9927769899368286,0.34954187,0.0,0.005866861651998945,0.19854247570037842
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F10.out.bam,1430520,90693,1430520.0,979330.7,0.42354476,2,4099.26,0.9967041015625,0.14323522,0.0,0.00039421321596539864,0.05500233173370361
