X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_umap1,X_umap2,velocity_umap1,velocity_umap2
-66.48543,16.477972,28.456963,-4.4456944,-5.0225954,5.611072,-12.442417,-9.473423,4.026588,-9.020721,-6.866811,20.461996,22.616009,9.506504,8.028718,-29.381458,0.030364092,-23.611355,5.791576,-18.343172,-6.52533,-1.1118925,17.128218,35.521446,4.043231,1.5717223,0.39600447,6.6634274,-5.2633214,-5.6810374,27.149069,4.8615212,-0.00937360950795066,-0.010468704611490123
56.374096,-28.432037,-0.5199914,-12.3890295,-8.950475,-21.765417,0.38724622,-4.8539658,0.8639817,-17.579979,13.688116,-4.842131,6.6052485,6.4288826,-5.577465,13.143878,2.1760862,-6.177762,0.004565837,5.9351406,-7.5203533,9.698422,-0.08054897,-2.910495,-0.9939886,-15.505504,-5.6740856,6.6281157,-6.019014,4.8331494,-0.8269484,5.3980026,0.1274134993127968,-0.3872094201717515
59.969807,-16.048721,-5.938433,-14.930721,36.510284,-10.439447,-4.337792,11.70091,13.895179,-3.0647123,-4.067148,-21.116472,7.5370183,-13.033448,4.5862207,8.073876,-7.7008862,0.97060233,2.0758357,-18.918024,8.278155,10.822175,15.6655445,1.4799818,-1.4742473,-5.9076047,5.471878,0.12780116,-6.1593385,2.3742142,0.8508942,4.822188,0.07598022481577159,-0.3436201891175976
86.86609,6.2559986,3.98214,1.1263337,-17.19356,-21.522285,-5.6410723,0.9983684,7.5152216,8.2507715,8.913713,2.341658,10.987056,10.511764,12.813766,4.1075783,16.930141,-3.8574643,9.681865,3.6117918,8.64218,-9.135783,-14.348193,-2.5441954,-1.1050262,4.448413,1.3640543,12.17462,-3.4915714,-8.144299,-0.7953095,7.6576176,0.14208930734423375,-0.5664740473909864
84.7204,-13.7442255,10.047464,-9.671542,-9.758033,-23.28565,13.495528,-1.8069297,-14.0121565,4.3230023,11.141253,3.9534924,-0.2056191,2.1117654,8.838465,-1.4598813,-4.448191,1.8637073,-6.143625,6.639429,5.7913103,-1.1597445,-2.3771365,2.4853203,7.5739217,3.006964,-20.153414,-8.987806,9.075819,2.1199737,-0.1917954,6.816903,0.15505068167921326,-0.5211044607267349
-73.788414,18.331604,16.670202,-8.251498,-10.794273,-4.1999846,-15.925885,-11.838055,2.6034856,-12.531255,4.6925263,2.2898765,-1.8391024,2.699129,-17.312939,10.310117,5.109188,-5.4666314,-11.436837,-5.558546,22.211933,-5.059835,-20.097595,-16.321424,-7.8623905,14.960909,20.149511,26.005524,1.4356118,20.45447,26.788345,4.133251,-0.005551318800597958,0.008116667908361677
122.29336,50.264355,3.982111,-5.9657464,-25.99199,14.248042,-2.4959803,-6.8312793,-10.150539,7.640801,6.450797,7.0817275,-9.237682,4.89174,-0.7712735,-6.8271184,-7.7507863,-1.3600339,-9.541644,4.1197767,7.9542923,-1.9245257,2.3503835,4.4910636,-5.6459675,3.1068535,-3.6785958,0.71875095,-0.093795,-0.87540466,-2.8339572,11.723313,-0.0010320637648522629,-0.0011362051916735448
105.523,21.565289,4.1644673,-10.271878,-13.434622,33.36353,4.95813,2.351065,-6.409547,-8.648139,13.576393,2.6212206,-3.1832378,5.808523,2.5260782,-11.269023,-11.195964,-16.327599,1.4378557,-0.5296445,2.6697803,-1.1402814,-2.2137568,1.1281472,-6.0177073,-1.4477068,2.1005845,4.391239,7.2553077,1.9975545,-3.5110276,9.678048,0.0011793427187003229,-0.009197963379067376
100.55751,18.45081,-5.299486,-23.454226,-0.16900586,26.451775,11.6399355,11.228266,6.0386925,-1.8301575,18.097574,7.7326856,-12.640441,-1.5986321,-3.169667,-3.4631503,-9.908178,-6.6474857,-6.046202,7.4691772,9.885781,2.887013,-2.880908,-2.6771815,1.8695511,0.4980634,-1.3144861,1.4724879,3.2560253,-2.8964777,-3.3371193,9.020931,0.002089444979293405,-0.007005484436323136
75.71457,-11.655239,6.7884736,-10.791662,-11.38867,-21.6628,11.731379,-0.3713315,8.097458,-5.864907,13.530839,9.724826,-4.6467166,5.410669,6.241301,7.9168754,1.9240437,-3.2618961,8.854725,-7.2073445,-1.9104484,-7.9514,-3.6457114,-8.567509,4.424366,-6.3271914,8.114916,-7.0934606,5.3683953,7.0084133,-0.7821911,6.850558,0.16809043054779613,-0.5012652544902189
