"","CellID","initial_size_spliced","initial_size_unspliced","initial_size","n_counts","velocity_self_transition","louvain","root_cells","end_points","velocity_pseudotime","latent_time","S_score","G2M_score","phase","velocity_length","velocity_confidence","velocity_confidence_transition","Cell","singler","excluded"
"33","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B06.out.bam",1247191,79125,1247191,885120.94,0.27391565,1,0,0.000922018558899907,0.241720259189606,0.181764778389776,1.2123845907358,-1.18752739236161,"S",4481.93,0.86290563866263,0.136470212093852,"1166_1_2_B06","PB",FALSE
"34","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B08.out.bam",589717,50014,589717,987034.4,0.43364125,1,0,0.00120196907454143,0.349398016929626,0.309708745480914,-0.955814792639436,-1.49280787717115,"G1",4514.45,0.951492391622423,-0.0972606461924228,"1166_1_2_B08","Undefined",TRUE
"35","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B09.out.bam",1497765,346842,1497765,915397.7,0.35002065,0,0,0.282573448010486,0.992960274219513,0.933250448338653,-0.247081095398868,-0.175739751635371,"G1",1336.34,0.855324333228598,0.0493805600521493,"1166_1_2_B09","MBC",FALSE
"36","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B10.out.bam",998628,41907,998628,1005890.75,0.38915846,3,0,0.000185290230436063,0.147688984870911,0.00504314110839957,2.50655766617893,0.373107732308878,"S",9070.94,0.887660699996768,-0.0219114981725822,"1166_1_2_B10","PB",FALSE
"37","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B11.out.bam",656968,23330,656968,991715.6,0.2853995,3,0,0.00014383764482997,0.0960240364074707,0.0325462332001441,0.835932716956505,1.49231127489794,"G2M",8991,0.933850973408965,0.162678203292646,"1166_1_2_B11","PB",FALSE
"38","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B12.out.bam",1175292,60635,1175292,983101.2,0.27119887,1,0,0.00104803317673873,0.306896507740021,0.231753488731288,0.110956946663235,-1.32488990281079,"S",4365.59,0.923153340899943,0.160791694065102,"1166_1_2_B12","PB",FALSE
"39","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B13.out.bam",979578,58470,979578,883740.5,0.20273077,1,0,0.00131348399001211,0.33630496263504,0.296462975838944,-1.16774649444631,-1.10578011671702,"G1",4565.19,0.945450526906826,0.237175210499989,"1166_1_2_B13","PC",FALSE
"40","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B14.out.bam",1639709,204543,1639709,938800.1,0.2820272,0,0,0.329119587722867,0.992302536964417,0.918446332735724,-0.212726453474931,-0.428046281702884,"G1",1367.84,0.85398031149746,0.124941654742234,"1166_1_2_B14","MBC",FALSE
"41","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B15.out.bam",1683601,46795,1683601,971875.6,0.4243967,3,0,4.11026158414927e-05,0.0669828653335571,0.0317132964193063,0.338797232458823,2.85428343076964,"G2M",8844,0.983155852416451,0.0203783241764729,"1166_1_2_B15","PB",FALSE
"42","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C02.out.bam",1630515,78500,1630515,960185,0.37609303,3,0,0.000104850699960414,0.0702357292175293,0.0199080591347295,1.42867117406532,1.65938390611528,"G2M",8835.16,0.968515105934988,0.0524366292022721,"1166_1_2_C02","PB",FALSE
