"CELL","HamClone","Specific_UCA_BS"
"1166_1_2_J07",291,FALSE
"1166_1_2_J09",NA,FALSE
"1166_1_2_J09",NA,FALSE
"1166_1_2_J12",212,FALSE
"1166_1_2_J12",212,FALSE
"1166_1_2_J16",291,FALSE
"1166_1_2_J16",291,FALSE
"1166_1_2_K03",NA,FALSE
"1166_1_2_K03",NA,FALSE
"1166_1_2_K04",227,FALSE
"1166_1_2_K04",227,FALSE
"1166_1_2_K07",227,FALSE
"1166_1_2_K07",227,FALSE
"1166_1_2_K09",NA,TRUE
"1166_1_2_K09",NA,TRUE
"1166_1_2_K12",233,FALSE
"1166_1_2_K12",233,FALSE
"1166_1_2_L03",NA,FALSE
"1166_1_2_L03",NA,FALSE
"1166_1_2_L13",NA,TRUE
"1166_1_2_L13",NA,TRUE
"1166_1_2_L14",202,FALSE
"1166_1_2_L14",202,FALSE
"1166_1_2_L16",214,FALSE
"1166_1_2_L16",214,FALSE
"1166_1_2_M05",214,FALSE
"1166_1_2_M05",214,FALSE
"1166_1_2_M07",233,FALSE
"1166_1_2_M07",233,FALSE
"1166_1_2_M08",158,FALSE
"1166_1_2_M08",158,FALSE
"1166_1_2_M12",202,FALSE
"1166_1_2_M12",202,FALSE
"1166_1_2_M16",NA,FALSE
"1166_1_2_M16",NA,FALSE
"1166_1_2_N02",158,FALSE
"1166_1_2_N02",158,FALSE
"1166_1_2_N03",333,TRUE
"1166_1_2_N03",333,TRUE
"1166_1_2_N05",202,FALSE
"1166_1_2_N05",202,FALSE
"1166_1_2_N07",354,FALSE
"1166_1_2_N07",354,FALSE
"1166_1_2_N10",212,FALSE
"1166_1_2_N10",212,FALSE
"1166_1_2_N11",NA,FALSE
"1166_1_2_N11",NA,FALSE
"1166_1_2_N12",NA,FALSE
"1166_1_2_N12",NA,FALSE
"1166_1_2_N13",293,FALSE
"1166_1_2_N13",293,FALSE
"1166_1_2_N14",5,TRUE
"1166_1_2_N14",5,TRUE
"1166_1_2_P06",NA,TRUE
"1166_1_2_P06",NA,TRUE
"1166_1_2_P12",84,FALSE
"1166_1_2_P12",84,FALSE
"1166_1_2_P14",NA,FALSE
"1166_1_2_P14",NA,FALSE
"1166_1_2_P15",84,FALSE
"1166_1_2_P15",84,FALSE
"1227_1_1_G19",96,TRUE
"1227_1_1_G19",96,TRUE
"1227_1_1_N02",96,TRUE
"1227_1_1_N02",96,TRUE
"1227_1_2_B08",NA,TRUE
"1227_1_2_B08",NA,TRUE
"1227_1_2_C04",NA,FALSE
"1227_1_2_C04",NA,FALSE
"1227_1_2_K02",20,TRUE
"1227_1_2_K02",20,TRUE
"1227_1_2_K03",44,TRUE
"1227_1_2_K03",44,TRUE
"1227_1_2_K05",96,TRUE
"1227_1_2_K05",96,TRUE
"1227_1_2_O03",NA,FALSE
"1227_1_2_O03",NA,FALSE
"1227_1_2_P01",20,TRUE
"1227_1_2_P01",20,TRUE
"1227_1_3_C01",44,TRUE
"1227_1_3_C01",44,TRUE
"1227_1_3_J02",NA,TRUE
"1227_1_3_J02",NA,TRUE
"1284_1_1_A09",325,TRUE
"1284_1_1_A09",325,TRUE
"1284_1_1_B07",276,FALSE
"1284_1_1_B07",276,FALSE
"1284_1_1_H07",276,FALSE
"1284_1_1_H07",276,FALSE
"1284_1_1_N09",272,FALSE
"1284_1_1_N09",272,FALSE
"1284_1_3_J02",276,FALSE
"1284_1_3_J02",276,FALSE
"1284_1_3_J02",276,FALSE
"1284_1_4_A03",300,FALSE
"1284_1_4_A03",300,FALSE
"1284_1_4_A05",272,FALSE
"1284_1_4_A05",272,FALSE
"1284_1_4_C06",98,FALSE
"1284_1_4_C06",98,FALSE
"1284_1_4_C06",98,FALSE
"1284_1_4_D04",175,FALSE
"1284_1_4_D04",175,FALSE
"1284_1_4_E05",213,FALSE
"1284_1_4_E05",213,FALSE
"1284_1_4_E05",213,FALSE
"1284_1_4_L02",461,FALSE
"1284_1_4_L02",461,FALSE
"1284_1_4_O01",175,FALSE
"1284_1_4_O01",175,FALSE
"1284_1_5_A04",325,TRUE
"1284_1_5_A04",325,TRUE
"1284_1_5_A04",325,TRUE
"1284_1_5_C01",276,FALSE
"1284_1_5_C01",276,FALSE
"1284_1_5_F01",276,FALSE
"1284_1_5_F01",276,FALSE
"1284_1_5_G01",98,FALSE
"1284_1_5_G01",98,FALSE
"1284_1_5_G01",98,FALSE
"1284_1_5_K01",276,FALSE
"1284_1_5_K01",276,FALSE
"1284_1_5_K06",NA,FALSE
"1284_1_5_K06",NA,FALSE
"1284_1_5_N03",175,FALSE
"1284_1_5_N03",175,FALSE
"1284_1_5_N04",272,FALSE
"1284_1_5_N04",272,FALSE
"1284_1_5_N04",272,FALSE
"1284_1_5_O03",98,FALSE
"1284_1_5_O03",98,FALSE
"1284_1_5_O03",98,FALSE
"1284_1_6_A04",393,FALSE
"1284_1_6_A04",393,FALSE
"1284_1_6_C04",300,FALSE
"1284_1_6_C04",300,FALSE
"1284_1_6_D03",213,FALSE
"1284_1_6_D03",213,FALSE
"1284_1_6_D03",213,FALSE
"1284_1_6_E04",393,FALSE
"1284_1_6_E04",393,FALSE
"1284_1_6_F01",175,FALSE
"1284_1_6_F01",175,FALSE
"1284_1_6_G03",276,FALSE
"1284_1_6_G03",276,FALSE
"1284_1_6_G05",461,FALSE
"1284_1_6_G05",461,FALSE
"1284_1_6_J05",175,FALSE
"1284_1_6_J05",175,FALSE
"1284_1_6_L01",98,FALSE
"1284_1_6_L01",98,FALSE
"1284_1_6_O03",175,FALSE
"1284_1_6_O03",175,FALSE
"1284_1_6_P04",NA,TRUE
"1284_1_6_P04",NA,TRUE
