"","logFCCohen","FDRcorrMannW","topVals","topNames"
"ZFP64",0.492000899295488,0.947259781024256,"FALSE",NA
"MNAT1",0.109163890331161,0.968658944276057,"FALSE",NA
"SAMD4A",0.230374505535959,0.968658944276057,"FALSE",NA
"RUNX3",0.0374204361010612,0.995137446572239,"FALSE",NA
"PLEKHB1",-0.305849885963948,0.710790750988648,"FALSE",NA
"SERPINB1",-0.378584123760346,0.968658944276057,"FALSE",NA
"CYP3A43",0.110784587465858,0.976018706196534,"FALSE",NA
"SLC7A9",-0.282842712474619,0.870713000150445,"FALSE",NA
"SPAST",0.052288640210106,0.968658944276057,"FALSE",NA
"NRXN3",0.155056342624752,0.985121208492142,"FALSE",NA
"OSBPL5",0,NA,"FALSE",NA
"AQR",-0.448244161236033,0.936454054700878,"FALSE",NA
"CPS1",-0.0407318439262698,1,"FALSE",NA
"C8B",0,NA,"FALSE",NA
"FHL1",0,NA,"FALSE",NA
"GABRA1",0,NA,"FALSE",NA
"NLRP2",0,NA,"FALSE",NA
"SLC45A4",0.189698550093948,0.968658944276057,"FALSE",NA
"RNF10",0.337781567603255,0.968658944276057,"FALSE",NA
"ZNF839",0.014780551032499,0.978917236419578,"FALSE",NA
"ZDHHC6",0.293346787784242,0.968658944276057,"FALSE",NA
"GRAMD1B",0.150339347294507,0.972280144104792,"FALSE",NA
"RNH1",0.0207758305666761,0.995137446572239,"FALSE",NA
"NDUFS1",0.0667960252490694,0.968658944276057,"FALSE",NA
"RB1CC1",-0.291072890016247,0.968658944276057,"FALSE",NA
"ERP44",-0.246156862571639,0.968658944276057,"FALSE",NA
"ALAS1",0.107000201564695,0.968658944276057,"FALSE",NA
"BIRC3",-0.208398361236455,0.968658944276057,"FALSE",NA
"AKAP11",-0.0270009157806006,0.998236894992996,"FALSE",NA
"GLRX2",-0.0464182578447897,0.974699735235089,"FALSE",NA
"SNAPC1",0.197352090967615,0.968658944276057,"FALSE",NA
"DERA",-0.0734228774222331,0.99022606422127,"FALSE",NA
"STRAP",-0.096056190223116,0.971086761558173,"FALSE",NA
"ABCC2",-0.126563337884881,0.968658944276057,"FALSE",NA
"DEF6",-0.0447865673983504,0.968658944276057,"FALSE",NA
"PLEKHO1",-0.108829827923766,0.968658944276057,"FALSE",NA
"GCLM",0.0624127997937742,0.968658944276057,"FALSE",NA
"UBR2",0.13205574879214,0.968658944276057,"FALSE",NA
"EHD2",0.188526537888171,0.968658944276057,"FALSE",NA
"DEPDC1",0.0427367507907954,0.982565158162787,"FALSE",NA
"CCDC28A",-0.24336994996081,0.968658944276057,"FALSE",NA
"RRAGD",-0.0148946715874805,0.995137446572239,"FALSE",NA
"HSF2",0.00107616239501477,0.993970630612585,"FALSE",NA
"PHF20",-0.0351134208536997,0.973209825528406,"FALSE",NA
"HSD17B6",-0.0703516352605999,0.974699735235089,"FALSE",NA
"NR1H3",-0.0635980957717213,0.976018706196534,"FALSE",NA
"TYMP",0.135762999105473,0.968658944276057,"FALSE",NA
"NCAPH2",0.199572746027985,0.968658944276057,"FALSE",NA
"TOMM34",-0.0986604585127585,0.985121208492142,"FALSE",NA
"SEC63",0.233326232914596,0.974699735235089,"FALSE",NA
"KPNA6",-0.283561266579286,0.968658944276057,"FALSE",NA
"VIM",-0.162133442322034,0.968658944276057,"FALSE",NA
"RTEL1-TNFRSF6B",-0.0887335271414336,0.968658944276057,"FALSE",NA
"FAS",-0.0252828584830941,0.989738172758419,"FALSE",NA
"RNASET2",0.312859381542966,0.968658944276057,"FALSE",NA
"CD44",-0.162134431368645,0.968658944276057,"FALSE",NA
"KCNG1",-0.293133812127117,0.968658944276057,"FALSE",NA
