X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_umap1,X_umap2,velocity_umap1,velocity_umap2
-13.395957,18.398863,6.849533,4.4083505,0.6192975,-5.108474,-5.471123,-2.3621767,11.075542,17.128754,3.899461,-5.8246775,14.381347,20.087332,3.5488403,-15.156125,16.310509,-12.4380865,-5.9602466,-8.770219,9.166046,-1.5159252,-11.91482,5.623301,3.1093736,-8.057151,14.657875,-6.427949,7.139243,4.4705834,12.317458,8.248596,-0.00017732279088910388,0.003952237625099577
18.760784,-2.215846,10.431558,-5.512783,11.477159,3.1736257,-3.8439322,-5.099576,1.220931,-3.006203,1.8653836,-1.7392943,-0.31176972,-3.0870926,1.5287801,-3.8341768,0.9532472,-0.9541647,0.8241805,-1.578579,-2.3887062,-9.717952,-0.3161863,-7.1950274,-3.5083227,4.573811,4.848857,7.313653,2.9013023,-14.473969,4.20757,6.0777764,-0.0606494487193628,0.05300093005268337
22.54691,5.2283406,-10.464225,1.8348113,3.9198248,-9.896539,8.782261,-0.26731864,5.279581,-0.093527175,-4.0408664,2.9290879,2.5047092,-2.1424236,-6.0337634,8.454398,1.7047038,-5.274784,3.2134554,3.3473454,-2.3674347,-2.3469992,-3.5979059,-2.6526978,-2.5798373,-1.9879334,3.9080799,-2.051953,1.0187825,1.4234535,2.9587095,7.1185284,0.003016126280907315,-0.0014662807249862953
10.865455,-3.121604,2.197895,-7.404529,-3.3995838,-4.3864703,0.6814393,-5.4560413,-11.659553,-2.2601783,4.6633825,-4.2714972,6.0396657,-14.684269,-1.3506087,0.8214248,3.3088517,-12.086325,-2.837382,-4.755279,5.534663,1.6683022,5.4409504,2.166506,0.67709845,7.628257,5.709216,-3.0135539,-3.0025315,-1.9339339,5.831138,5.6542764,-0.12805987722590156,0.07514709303666325
-3.5761666,-8.290345,-11.019379,5.6048036,-6.251813,-7.9722447,-8.794164,1.7181085,5.402947,-5.914264,3.2119555,-4.387082,-0.5839892,-2.396539,-5.077519,-2.5676386,2.3013194,-4.472721,1.8044225,3.9688523,-5.652266,7.6651983,1.3368568,-6.0833206,5.583118,0.09737081,-2.5024383,-5.605294,-0.1698834,-2.5284245,7.5862107,6.24367,0.14909533157117982,-0.020770551765296505
-21.95291,21.776232,4.4854994,1.0238366,3.3504436,-3.3134406,4.887817,-3.7744536,-2.2526839,8.832923,-9.156192,14.52488,9.324108,6.3288827,0.15012014,-0.3919914,-6.4461575,-2.8732505,14.661408,4.8614535,9.976061,-2.3220603,0.09714053,3.7997031,-3.3043928,-0.06260774,-4.06339,6.9122977,17.152798,-7.3845873,11.043584,8.714766,-0.01639516345330782,-0.0017260011343480052
30.7185,12.434824,2.9987285,2.6284912,14.833446,1.4867005,2.6638086,3.5768912,2.917063,-1.9270649,0.82651573,4.4261036,-1.6887614,1.5367641,2.1323254,3.433464,-6.7116456,-3.4243693,2.5016217,1.3845423,0.81564695,-0.89435303,-2.5923452,-0.5636676,0.4826932,-6.3801246,-4.340188,1.2326528,1.1201324,1.7630455,2.718892,6.840941,-0.03376115958368643,0.050202799257596825
23.262875,6.849826,-5.8600593,-6.4300103,-1.9039644,3.2920654,-0.45534828,-4.656636,2.3675153,3.3315263,8.079197,5.1443624,-0.93432474,-0.83504224,3.8925133,0.20235267,2.3913167,-5.680597,-0.3974764,1.9593064,1.4970152,0.81974864,5.573698,1.1255652,3.314336,-1.3068371,-0.61440617,5.061757,2.9627752,4.6672754,3.9598894,7.7969627,0.15480441380148025,-0.03604098865832788
-20.659306,20.873913,7.4110494,6.651759,-1.2441853,-5.4969373,-4.040271,-14.345427,9.662492,-18.739153,-3.9889336,2.465951,2.2365358,3.8522713,8.057377,-1.6398613,11.406819,-4.0746365,-7.4220095,-4.7531433,1.3363979,-4.1603403,-1.9901588,5.856377,-12.450027,-2.2348263,-1.3374553,5.3604727,-8.912549,-5.0927663,12.604336,7.359201,0.0005196966893849395,0.01055337974836971
21.853455,9.8266945,-2.2996402,4.825913,0.5091603,-4.9001865,10.6270275,-0.2981822,-5.723665,3.3974597,-2.4849474,0.11266718,17.010195,2.7476122,1.4206396,2.3864603,-2.3846052,-5.3479266,-9.420821,8.841737,-8.772937,4.3852177,-1.7481498,0.92790353,-5.262178,0.28253025,-0.118480004,6.521225,-8.502299,1.0511718,3.2987893,7.324763,-0.08003349233469224,0.045243300554578966
